Index,Question,Options,Correct Answer
31,Is the flag upright or tilted?,a) Upright b)tilted,a)
32,Is the flag upright or tilted?,a) Upright b)tilted,b)
33,Is this the top view of the butterfly or the side view?,a) top b) Side,a)
34,Is this the top view of the butterfly or the side view?,a) top b) Side,b)
35,Are the cucumbers dark green or light green?,a)Dark green b)Light green,a)
36,Are the cucumbers dark green or light green?,a)Dark green b)Light green,b)
37,Are the white flowers behind the butterfly visible or no?,a)yes b)no,b)
38,Are the white flowers behind the butterfly visible or no?,a)yes b)no,a)
39,Is the duck in the pond or on dryland?,a) pond b) dryland,a)
40,Is the duck in the pond or on dryland?,a) pond b) dryland,b)
41,Are the spider's legs orange?,a)yes b)no,b)
42,Are the spider's legs orange?,a)yes b)no,a)
43,How many buses are there in the image?,a) one b) many,b)
44,How many buses are there in the image?,a) one b) many,a)
45,Is this the bottom or top view of the shark?,a) Bottom b) Top,a)
46,Is this the bottom or top view of the shark?,a) Bottom b) Top,b)
47,How many circular patterns are there on the wings of the butterfly?,a)5 b)6,a)
48,How many circular patterns are there on the wings of the butterfly?,a)5 b)6,b)
49,Is this the side view of the keyboard or the front view?,a)side b)front,a)
50,Is this the side view of the keyboard or the front view?,a)side b)front,b)
51,Is the elephant facing towards right or left?,a)right b)Left,a)
52,Is the elephant facing towards right or left?,a)right b)Left,b)
53,Are there colored medicine tablets in the picture or just white?,a)multi-colored b)just white,b)
54,Are there colored medicine tablets in the picture or just white?,a)multi-colored b)just white,a)
55,Are the bannanas covering the whole image frame?,a) yes b) no,b)
56,Are the bannanas covering the whole image frame?,a) yes b) no,a)
57,Is the allegator in water or on land?,a)water b)land,a)
58,Is the allegator in water or on land?,a)water b)land,b)
59,Are there any chains on the lock?,a)yes b)no,b)
60,Are there any chains on the lock?,a)yes b)no,a)
61,Is the letter 'J' visible on the keyboard?,a)yes b)no,a)
62,Is the letter 'J' visible on the keyboard?,a)yes b)no,b)
63,Is the background behind flowers mostly green?,a)yes b)no,b)
64,Is the background behind flowers mostly green?,a)yes b)no,a)
65,Are the keys black or white?,a)black b)white,b)
66,Are the keys black or white?,a)black b)white,a)
67,Are there any clouds in the sky?,a)yes b)no,a)
68,Are there any clouds in the sky?,a)yes b)no,b)
69,Is the snake facing towards left or right?,a) right b) left,b)
70,Is the snake facing towards left or right?,a) right b) left,a)
71,Is the lock closed or open?,a) closed b)open,a)
72,Is the lock closed or open?,a) closed b)open,b)
73,Is this a top view of the cycle?,a) yes b)no,a)
74,Is this a top view of the cycle?,a) yes b)no,b)
75,Is the flower bud open or closed?,a)open b)close,a)
76,Is the flower bud open or closed?,a)open b)close,b)
77,Is the water light blue or dark blue?,a) light blue b) darkblue,b)
78,Is the water light blue or dark blue?,a) light blue b) darkblue,a)
79,Is the snake's head lying on its body?,a) yes b) no,a)
80,Is the snake's head lying on its body?,a) yes b) no,b)
81,Are there single or mutiple fishes?,a) single b)multiple,a)
82,Are there single or mutiple fishes?,a) single b)multiple,b)
83,Is the truck facing left or right?,a) yes b)no,b)
84,Is the truck facing left or right?,a) yes b)no,a)
85,Are the dog ears erected or drooping down?,a)erected b)drooping down,a)
86,Are the dog ears erected or drooping down?,a)erected b)drooping down,b)
87,Is a wire visible in the image?,a)yes b)no,a)
88,Is a wire visible in the image?,a)yes b)no,b)
89,Are there trees present in front of the mosque?,a)yes b)no,b)
90,Are there trees present in front of the mosque?,a)yes b)no,a)
91,What is the text written on the side of the van?,a)POLIZEI b)POLICE,a)
92,What is the text written on the side of the van?,a)POLIZEI b)POLICE,a)
93,Is the computer screen visible?,a)yes b) no,b)
94,Is the computer screen visible?,a)yes b) no,a)
95,Is this top view of the web or side view?,a)toop b)side,a)
96,Is this top view of the web or side view?,a)toop b)side,b)
97,Is the keyboard inclined from the surface?,a)yes b)no,b)
98,Is the keyboard inclined from the surface?,a)yes b)no,a)
99,Are there any clouds in the sky?,a)yes b)no,a)
100,Are there any clouds in the sky?,a)yes b)no,b)
101,Is the girl with the ball raising both her hands above the head?,a)yes b)no,b)
102,Is the girl with the ball raising both her hands above the head?,a)yes b)no,a)
103,Is the syring facing upwards or downwards?,a)upwards b)downwards,a)
104,Is the syring facing upwards or downwards?,a)upwards b)downwards,b)
105,How many apples are there in the image?,a) single b) multiple,b)
106,How many apples are there in the image?,a) single b) multiple,a)
107,Does the butterfly has antennas?,a) yes b)no,a)
108,Does the butterfly has antennas?,a) yes b)no,b)
109,Are the bird's wings facing upwards or downwards?,a) upwards b) downwards,a)
110,Are the bird's wings facing upwards or downwards?,a) upwards b) downwards,b)
111,Is the grass green or yellow?,a)green b)yellow,b)
112,Is the grass green or yellow?,a)green b)yellow,a)
113,Is there a window present in the image?,a) yes b)no,a)
114,Is there a window present in the image?,a) yes b)no,b)
115,Is the snail head on the road or on the mud?,a)road b)mud,b)
116,Is the snail head on the road or on the mud?,a)road b)mud,a)
117,Are the complete ears of the cat visible?,a)yes b)no,a)
118,Are the complete ears of the cat visible?,a)yes b)no,b)
119,Is this the front view of the eagle or the side view?,a)front b)side,b)
120,Is this the front view of the eagle or the side view?,a)front b)side,a)
121,Is the corn wrapped around in its leaves?,a)yes b)no,a)
122,Is the corn wrapped around in its leaves?,a)yes b)no,b)
123,Is the duck in water?,a)yes b)no,b)
124,Is the duck in water?,a)yes b)no,a)
125,Is there are single person in the image?,a) yes b)no,a)
126,Is there are single person in the image?,a) yes b)no,b)
127,Is the stem of the flower visible?,a) yes b)no,b)
128,Is the stem of the flower visible?,a) yes b)no,a)
129,Is the text 'SCHOOL BUS' completely visible?,a) yes b)no,a)
130,Is the text 'SCHOOL BUS' completely visible?,a) yes b)no,b)
131,Is the brown dog's head towards left or right or left of black dog?,a)right b)left,b)
132,Is the brown dog's head towards left or right or left of black dog?,a)right b)left,a)
133,Are 5 blue buttons present in center of the remote?,a) yes b) no,b)
134,Are 5 blue buttons present in center of the remote?,a) yes b) no,a)
135,How many glasses are there in the image?,a) one b)multiple,a)
136,How many glasses are there in the image?,a) one b)multiple,b)
137,Is the head of the snake lying on its body?,a)yes b)no,a)
138,Is the head of the snake lying on its body?,a)yes b)no,b)
139,"Is the text ""LJ55 YEU"" visible in the image?",a) yes b) no,b)
140,"Is the text ""LJ55 YEU"" visible in the image?",a) yes b) no,a)
141,Is the elephant trunk rising?,a) yes b) no,a)
142,Is the elephant trunk rising?,a) yes b) no,b)
143,Is the bug above or below its resting surface?,a) above b) below,a)
144,Is the bug above or below its resting surface?,a) above b) below,b)
145,Is the glass filled more than 50%?,a) yes b) no,b)
146,Is the glass filled more than 50%?,a) yes b) no,a)
147,Is the head of the snake visible?,a) yes b) no,a)
148,Is the head of the snake visible?,a) yes b) no,b)
149,What color is the piano structure?,a) black b) brown,b)
150,What color is the piano structure?,a) black b) brown,a)
151,Is the sun in front of the running woman?,a) yes b) no,a)
152,Is the sun in front of the running woman?,a) yes b) no,a)
153,Are there any white vegatables present in the image?,a) yes b) no,a)
154,Are there any white vegatables present in the image?,a) yes b) no,b)
155,Are there any pictures hanging on the bed wall?,a)yes b)no,a)
156,Are there any pictures hanging on the bed wall?,a)yes b)no,b)
157,Are there any side mirrors present in the image?,a) yes b) no,b)
158,Are there any side mirrors present in the image?,a) yes b) no,a)
159,Is this the front view of the person or side view?,a) front b) side,a)
160,Is this the front view of the person or side view?,a) front b) side,b)
161,Is the table light brown or dark brown?,a)light brown b) dark brown,a)
162,Is the table light brown or dark brown?,a)light brown b) dark brown,b)
163,"Behind the tree, is there a gap between the two wndows?",a) yes b) no,b)
164,"Behind the tree, is there a gap between the two wndows?",a) yes b) no,a)
165,Is the bread towards the right or left of glass of juice?,a) right b) left,a)
166,Is the bread towards the right or left of glass of juice?,a) right b) left,b)
167,Are there any fruits or vegetables hanging in the air?,a) yes b) no,b)
168,Are there any fruits or vegetables hanging in the air?,a) yes b) no,a)
169,Is the man on the backside of the woman or on the right side?,a) backside b)rigthside,b)
170,Is the man on the backside of the woman or on the right side?,a) backside b)rigthside,a)
171,Is the snowman wearing a completely red cap?,a) yes b) no,b)
172,Is the snowman wearing a completely red cap?,a) yes b) no,a)
173,Are the eggs placed in a nest?,a) yes b) no,a)
174,Are the eggs placed in a nest?,a) yes b) no,b)
175,Is the woman wearing shoes?,a) yes b) no,b)
176,Is the woman wearing shoes?,a) yes b) no,a)
177,How many people are there?,a) 3 b) 4,b)
178,How many people are there?,a) 3 b) 4,b)
179,What is the text written on the wall?,a) MILLER MOTORCARS b) Miller Motorcars,a)
180,What is the text written on the wall?,a) MILLER MOTORCARS b) Miller Motorcars,a)
181,Is there smoke in the background of the car?,a) yes b) no,a)
182,Is there smoke in the background of the car?,a) yes b) no,b)
183,Is the bear with the cap towards the right or on left of the other teddy bear?,a)right b)left,b)
184,Is the bear with the cap towards the right or on left of the other teddy bear?,a)right b)left,a)
185,Are both feet on the weighing machine?,a) yes b) no,a)
186,Are both feet on the weighing machine?,a) yes b) no,b)
187,Is the woman lying on bed or sitting?,a) lying b) sitting,a)
188,Is the woman lying on bed or sitting?,a) lying b) sitting,b)
189,Are both of woman's feet on ground?,a) yes b) no,b)
190,Are both of woman's feet on ground?,a) yes b) no,a)
191,Are the eggs grouped together or far apart?,a)grouped b) far apart,a)
192,Are the eggs grouped together or far apart?,a)grouped b) far apart,b)
193,Is there a wooden fence present in the picture?,a) yes b) no,b)
194,Is there a wooden fence present in the picture?,a) yes b) no,a)
195,Is any carrot near the glass sliced?,a) yes b) no,a)
196,Is any carrot near the glass sliced?,a) yes b) no,b)
197,Is the woman weearing shoes?,a) yes b) no,b)
198,Is the woman weearing shoes?,a) yes b) no,a)
199,Is there a black background?,a) yes b) no,a)
200,Is there a black background?,a) yes b) no,b)
201,What is the text in the image?,a) Happy Easter b) Happy Easter!,a)
202,What is the text in the image?,a) Happy Easter b) Happy Easter!,b)
203,Is the number of leaves greater than the number of oranges?,a) yes b) no,a)
204,Is the number of leaves greater than the number of oranges?,a) yes b) no,b)
205,Is the person holding the glass from the side or from the bottom?,a) side b) bottom,a)
206,Is the person holding the glass from the side or from the bottom?,a) side b) bottom,b)
207,Is this a top view of the basket?,a) yes b) no,b)
208,Is this a top view of the basket?,a) yes b) no,a)
209,Is this a top view of the glass?,a) yes b) no,b)
210,Is this a top view of the glass?,a) yes b) no,a)
211,Is the red object being held in one hand?,a) yes b) no,b)
212,Is the red object being held in one hand?,a) yes b) no,a)
213,Is the snowman looking towards right or left?,a) right b) left,b)
214,Is the snowman looking towards right or left?,a) right b) left,a)
215,Is the sky visible?,a) yes b) no,a)
216,Is the sky visible?,a) yes b) no,b)
217,Is the knife cutting a vegetable?,a) yes b) no,b)
218,Is the knife cutting a vegetable?,a) yes b) no,a)
219,Is the sun behind the person or infront of the person?,a) in front b) behind,b)
220,Is the sun behind the person or infront of the person?,a) in front b) behind,a)
221,Is the man to the right of the woman?,a) yes b) no,a)
222,Is the man to the right of the woman?,a) yes b) no,a)
223,How many glasses are fully visible in the image?,a) 4 b) 6,b)
224,How many glasses are fully visible in the image?,a) 4 b) 6,a)
225,Is this a side view of the fruits or the ffront view?,a) side b) front,a)
226,Is this a side view of the fruits or the ffront view?,a) side b) front,b)
227,Are the man and woman holding water bottles?,a) yes b) no,a)
228,Are the man and woman holding water bottles?,a) yes b) no,b)
229,Is there a white background?,a) yes b) no,b)
230,Is there a white background?,a) yes b) no,a)
231,Are there any white flowers present?,a) yes b) no,a)
232,Are there any white flowers present?,a) yes b) no,b)
233,Is the sky dark blue or light blue?,a) dark blue b) light blue,a)
234,Is the sky dark blue or light blue?,a) dark blue b) light blue,b)
235,Are the peolpe facing towards camera or away from the camera?,a) front b) away from,a)
236,Are the peolpe facing towards camera or away from the camera?,a) front b) away from,b)
237,Is the ground completely covered with reddish leaves?,a) yes b) no,a)
238,Is the ground completely covered with reddish leaves?,a) yes b) no,b)
239,Are the shoes placed on the right of the clothes on table?,a) yes b) no,a)
240,Are the shoes placed on the right of the clothes on table?,a) yes b) no,a)
241,Is the smoke visible from the cup?,a) yes b) no,b)
242,Is the smoke visible from the cup?,a) yes b) no,a)
243,Is the rabbit facing towards right or left?,a) right b) left,b)
244,Is the rabbit facing towards right or left?,a) right b) left,a)
245,Is any woman sitting on a wheelchair in the image?,a) yes b) no,b)
246,Is any woman sitting on a wheelchair in the image?,a) yes b) no,a)
247,Are there any sliced fruits in the image?,a) yes b) no,a)
248,Are there any sliced fruits in the image?,a) yes b) no,b)
249,Is there a slice missing from the cake?,a) yes b) no,a)
250,Is there a slice missing from the cake?,a) yes b) no,b)
251,Is there a straw present in the glass?,a) yes b) no,a)
252,Is there a straw present in the glass?,a) yes b) no,b)
253,Is the sweater red?,a) yes b) no,b)
254,Is the sweater red?,a) yes b) no,a)
255,Are the cookies placed on a black grill?,a) yes b) no,b)
256,Are the cookies placed on a black grill?,a) yes b) no,a)
257,Is there a lemon placed inside the glass?,a) yes b) no,a)
258,Is there a lemon placed inside the glass?,a) yes b) no,b)
259,Are the people tilting towards right?,a) yes b) no,b)
260,Are the people tilting towards right?,a) yes b) no,a)
261,How many people are present in the image?,a) 5 b) 6,a)
262,How many people are present in the image?,a) 5 b) 6,b)
263,Is the cake sliced?,a) yes b) no,a)
264,Is the cake sliced?,a) yes b) no,b)
265,Is the person tying their shoelaces?,a) yes b) no,b)
266,Is the person tying their shoelaces?,a) yes b) no,a)
267,Is the kid to the left of the adult?,a) yes b) no,a)
268,Is the kid to the left of the adult?,a) yes b) no,b)
269,Is there a window present in the image?,a) yes b) no,b)
270,Is there a window present in the image?,a) yes b) no,a)
271,Is the man standing to the right of the woman from the camera perspective?,a) yes b)no,b)
272,Is the man standing to the right of the woman from the camera perspective?,a) yes b)no,a)
273,Are there any bats flying in the image?,a) yes b) no,b)
274,Are there any bats flying in the image?,a) yes b) no,a)
275,Are the stairs curved or straight?,a) straight b) curved,b)
276,Are the stairs curved or straight?,a) straight b) curved,a)
277,What is the text in the image?,a) SUGAR b) UGA,a)
278,What is the text in the image?,a) SUGAR b) UGA,b)
279,Is the kid in front of the old person,Is the kid in front of the old person a) yes b) no,a)
280,Is the kid in front of the old person,Is the kid in front of the old person a) yes b) no,b)
281,How many people are there in the image?,a) 4 b) 3,a)
282,How many people are there in the image?,a) 4 b) 3,b)
283,Is the food placed on a white surface?,a) yes b) no,b)
284,Is the food placed on a white surface?,a) yes b) no,a)
285,Is there an apple presnt in the image?,a) yes b) no,a)
286,Is there an apple presnt in the image?,a) yes b) no,b)
287,Is ther smoke coming out of the cup?,a) yes b) no,a)
288,Is ther smoke coming out of the cup?,a) yes b) no,b)
289,Are there any sliced fruits in the image?,a) yes b) no,b)
290,Are there any sliced fruits in the image?,a) yes b) no,a)
291,How many eyes does the character have?,a) 1 b) 2,a)
292,How many eyes does the character have?,a) 1 b) 2,b)
293,"Does the text in the image read ""MILLER MOTORCARS""?",a) yes b) no,a)
294,"Does the text in the image read ""MILLER MOTORCARS""?",a) yes b) no,a)
295,Do the hearts carry a white outline?,a) yes b) no,a)
296,Do the hearts carry a white outline?,a) yes b) no,b)
297,Are the eggs placed in a nest?,a) yes b) no,b)
298,Are the eggs placed in a nest?,a) yes b) no,a)
299,Is there a traffic signal present in the image?,a) yes b) no,a)
300,Is there a traffic signal present in the image?,a) yes b) no,b)
