Index,Question,Correct Answer,Response,Score,GPT_Grade
130,Is the text 'SCHOOL BUS' completely visible? a) yes b)no,b),"Yes, the text 'SCHOOL BUS' is completely visible on the bus.",0,no
131,Is the brown dog's head towards left or right or left of black dog? a)right b)left,b),B) left,1,yes
132,Is the brown dog's head towards left or right or left of black dog? a)right b)left,a),B) left,0,no
133,Are 5 blue buttons present in center of the remote? a) yes b) no,b),"Yes, there are 5 blue buttons in the center of the remote.",0,no
134,Are 5 blue buttons present in center of the remote? a) yes b) no,a),"Yes, there are 5 blue buttons in the center of the remote control.",1,yes
135,How many glasses are there in the image? a) one b)multiple,a),There is only one glass in the image.,1,yes
136,How many glasses are there in the image? a) one b)multiple,b),There are two glasses in the image.,1,yes
137,Is the head of the snake lying on its body? a)yes b)no,a),A) Yes,1,yes
138,Is the head of the snake lying on its body? a)yes b)no,b),"The head of the snake is not lying on its body. The snake is resting its head on a branch, with its body positioned",1,yes
139,"Is the text ""LJ55 YEU"" visible in the image? a) yes b) no",b),"Yes, the text ""LJ55 YEU"" is visible on the side of the vehicle.",0,no
140,"Is the text ""LJ55 YEU"" visible in the image? a) yes b) no",a),"Yes, the text ""LJ55 YEU"" is visible on the front of the yellow vehicle.",1,yes
141,Is the elephant trunk rising? a) yes b) no,a),B) No,0,no
142,Is the elephant trunk rising? a) yes b) no,b),The elephant's trunk is rising in the image.,0,no
143,Is the bug above or below its resting surface? a) above b) below,a),The bug is above its resting surface.,1,yes
144,Is the bug above or below its resting surface? a) above b) below,b),The bug is above its resting surface.,0,no
145,Is the glass filled more than 50%? a) yes b) no,b),"The glass is filled more than 50%, as it is described as being half full.",0,no
146,Is the glass filled more than 50%? a) yes b) no,a),"The glass is filled more than 50%, as it is described as being half full.",1,yes
147,Is the head of the snake visible? a) yes b) no,a),"No, the head of the snake is not visible in the image.",0,no
148,Is the head of the snake visible? a) yes b) no,b),"No, the head of the snake is not visible in the image.",1,yes
149,What color is the piano structure? a) black b) brown,b),The piano structure is brown.,1,yes
150,What color is the piano structure? a) black b) brown,a),The piano structure is black.,1,yes
151,Is the sun in front of the running woman? a) yes b) no,a),B) No,0,no
152,Is the sun in front of the running woman? a) yes b) no,a),B) No,0,no
153,Are there any white vegatables present in the image? a) yes b) no,a),"Yes, there are white vegetables present in the image, such as garlic and onions.",1,yes
154,Are there any white vegatables present in the image? a) yes b) no,b),"Yes, there are white vegatables present in the image.",0,no
155,Are there any pictures hanging on the bed wall? a)yes b)no,a),"Yes, there are pictures hanging on the bed wall.",1,yes
156,Are there any pictures hanging on the bed wall? a)yes b)no,b),There are no pictures hanging on the bed wall in the image.,1,yes
157,Are there any side mirrors present in the image? a) yes b) no,b),"Yes, there are side mirrors present in the image.",0,no
158,Are there any side mirrors present in the image? a) yes b) no,a),"Yes, there are side mirrors present in the image.",1,yes
159,Is this the front view of the person or side view? a) front b) side,a),This is a front view of the person.,1,yes
160,Is this the front view of the person or side view? a) front b) side,b),This is a side view of the person.,1,yes
161,Is the table light brown or dark brown? a)light brown b) dark brown,a),The table in the image is light brown.,1,yes
162,Is the table light brown or dark brown? a)light brown b) dark brown,b),The table in the image is dark brown.,1,yes
163,"Behind the tree, is there a gap between the two wndows? a) yes b) no",b),"Yes, there is a gap between the two windows behind the Christmas tree.",0,no
164,"Behind the tree, is there a gap between the two wndows? a) yes b) no",a),"Yes, there is a gap between the two windows behind the Christmas tree.",1,yes
165,Is the bread towards the right or left of glass of juice? a) right b) left,a),B) left,0,no
166,Is the bread towards the right or left of glass of juice? a) right b) left,b),B) left,1,yes
167,Are there any fruits or vegetables hanging in the air? a) yes b) no,b),"Yes, there are fruits and vegetables hanging in the air.",0,no
168,Are there any fruits or vegetables hanging in the air? a) yes b) no,a),"Yes, there are fruits and vegetables hanging in the air, as they are placed on a scale.",0,no
169,Is the man on the backside of the woman or on the right side? a) backside b)rigthside,b),The man is on the right side of the woman.,1,yes
170,Is the man on the backside of the woman or on the right side? a) backside b)rigthside,a),The man is on the right side of the woman.,0,no
171,Is the snowman wearing a completely red cap? a) yes b) no,b),The snowman is wearing a black and red cap.,1,yes
172,Is the snowman wearing a completely red cap? a) yes b) no,a),"The snowman is wearing a red cap, but it is not completely red. The cap has a combination of red and white colors.",0,no
173,Are the eggs placed in a nest? a) yes b) no,a),"Yes, the eggs are placed in a nest.",1,yes
174,Are the eggs placed in a nest? a) yes b) no,b),"The eggs are not placed in a nest. They are sitting on top of grass, with a flower nearby.",1,yes
175,Is the woman wearing shoes? a) yes b) no,b),The woman is not wearing shoes; she is barefoot on the red scale.,1,yes
176,Is the woman wearing shoes? a) yes b) no,a),"The woman is wearing shoes, specifically white sandals.",1,yes
177,How many people are there? a) 3 b) 4,b),"There are four people in the image: a man, a woman, and two children.",1,yes
178,How many people are there? a) 3 b) 4,b),"There are four people in the image: a man, a woman, and two children.",1,yes
179,What is the text written on the wall? a) MILLER MOTORCARS b) Miller Motorcars,a),"The text written on the wall is ""MILLER MOTORCARS.""",1,yes
180,What is the text written on the wall? a) MILLER MOTORCARS b) Miller Motorcars,a),"The text written on the wall is ""MILLER MOTORCARS.""",1,yes
181,Is there smoke in the background of the car? a) yes b) no,a),B) No,0,no
182,Is there smoke in the background of the car? a) yes b) no,b),B) No,1,yes
183,Is the bear with the cap towards the right or on left of the other teddy bear? a)right b)left,b),The bear with the cap is on the left side of the other teddy bear.,1,yes
184,Is the bear with the cap towards the right or on left of the other teddy bear? a)right b)left,a),The bear with the cap is on the right side of the other teddy bear.,1,yes
185,Are both feet on the weighing machine? a) yes b) no,a),B) No,0,no
186,Are both feet on the weighing machine? a) yes b) no,b),Both feet are on the weighing machine.,0,no
187,Is the woman lying on bed or sitting? a) lying b) sitting,a),The woman is lying on a bed.,1,yes
188,Is the woman lying on bed or sitting? a) lying b) sitting,b),The woman is lying on the bed.,0,no
189,Are both of woman's feet on ground? a) yes b) no,b),Both of the woman's feet are not on the ground.,1,yes
190,Are both of woman's feet on ground? a) yes b) no,a),Both of the woman's feet are on the ground.,1,yes
191,Are the eggs grouped together or far apart? a)grouped b) far apart,a),The eggs are grouped together in a basket.,1,yes
192,Are the eggs grouped together or far apart? a)grouped b) far apart,b),The eggs are grouped together in the grass.,0,no
193,Is there a wooden fence present in the picture? a) yes b) no,b),"Yes, there is a wooden fence present in the picture.",0,no
194,Is there a wooden fence present in the picture? a) yes b) no,a),"Yes, there is a wooden fence present in the picture.",1,yes
195,Is any carrot near the glass sliced? a) yes b) no,a),"Yes, there is a carrot near the glass that is sliced.",1,yes
196,Is any carrot near the glass sliced? a) yes b) no,b),B) No,1,yes
197,Is the woman weearing shoes? a) yes b) no,b),The woman is not wearing shoes. She is barefoot while standing on the scale.,1,yes
198,Is the woman weearing shoes? a) yes b) no,a),A) Yes,1,yes
199,Is there a black background? a) yes b) no,a),Yes,1,yes
200,Is there a black background? a) yes b) no,b),B) No,1,yes
201,What is the text in the image? a) Happy Easter b) Happy Easter!,a),"The text in the image is ""Happy Easter!""",0,no
202,What is the text in the image? a) Happy Easter b) Happy Easter!,b),"The text in the image is ""Happy Easter!""",1,yes
203,Is the number of leaves greater than the number of oranges? a) yes b) no,a),B) No,0,no
204,Is the number of leaves greater than the number of oranges? a) yes b) no,b),A) Yes,0,no
205,Is the person holding the glass from the side or from the bottom? a) side b) bottom,a),The person is holding the glass from the side.,1,yes
206,Is the person holding the glass from the side or from the bottom? a) side b) bottom,b),The person is holding the glass from the side.,0,no
207,Is this a top view of the basket? a) yes b) no,b),"Yes, this is a top view of the basket filled with various fruits and vegetables.",0,no
208,Is this a top view of the basket? a) yes b) no,a),"Yes, this is a top view of a basket filled with various vegetables.",1,yes
209,Is this a top view of the glass? a) yes b) no,b),B) No,1,yes
210,Is this a top view of the glass? a) yes b) no,a),B) No,0,no
211,Is the red object being held in one hand? a) yes b) no,b),A) Yes,0,no
212,Is the red object being held in one hand? a) yes b) no,a),A) Yes,1,yes
213,Is the snowman looking towards right or left? a) right b) left,b),The snowman is looking towards the right.,0,no
214,Is the snowman looking towards right or left? a) right b) left,a),The snowman is looking towards the left.,0,no
215,Is the sky visible? a) yes b) no,a),"Yes, the sky is visible in the image.",1,yes
216,Is the sky visible? a) yes b) no,b),"Yes, the sky is visible in the background of the image.",0,no
217,Is the knife cutting a vegetable? a) yes b) no,b),B) No,1,yes
218,Is the knife cutting a vegetable? a) yes b) no,a),"Yes, the knife is cutting a vegetable.",1,yes
219,Is the sun behind the person or infront of the person? a) in front b) behind,b),The sun is behind the person.,1,yes
220,Is the sun behind the person or infront of the person? a) in front b) behind,a),The sun is behind the person.,0,no
221,Is the man to the right of the woman? a) yes b) no,a),B) No,0,no
222,Is the man to the right of the woman? a) yes b) no,a),B) No,0,no
223,How many glasses are fully visible in the image? a) 4 b) 6,b),There are four glasses fully visible in the image.,0,no
224,How many glasses are fully visible in the image? a) 4 b) 6,a),There are four glasses fully visible in the image.,1,yes
225,Is this a side view of the fruits or the ffront view? a) side b) front,a),This is a side view of the fruits.,1,yes
226,Is this a side view of the fruits or the ffront view? a) side b) front,b),This is a side view of the fruits.,0,no
227,Are the man and woman holding water bottles? a) yes b) no,a),"Yes, the man and woman are holding water bottles while walking.",1,yes
228,Are the man and woman holding water bottles? a) yes b) no,b),"The man and woman are not holding water bottles in the image. They are both smiling and walking together, possibly enjoying a walk or eng",1,yes
229,Is there a white background? a) yes b) no,b),B) No,1,yes
230,Is there a white background? a) yes b) no,a),A) Yes,1,yes
231,Are there any white flowers present? a) yes b) no,a),"Yes, there are white flowers present in the image.",1,yes
232,Are there any white flowers present? a) yes b) no,b),"Yes, there are white flowers present in the image.",0,no
233,Is the sky dark blue or light blue? a) dark blue b) light blue,a),The sky in the image is dark blue.,1,yes
234,Is the sky dark blue or light blue? a) dark blue b) light blue,b),The sky in the image is dark blue.,0,no
235,Are the peolpe facing towards camera or away from the camera? a) front b) away from,a),The people in the image are facing towards the camera.,1,yes
236,Are the peolpe facing towards camera or away from the camera? a) front b) away from,b),The people in the image are facing towards the camera.,0,no
237,Is the ground completely covered with reddish leaves? a) yes b) no,a),"The ground is not completely covered with reddish leaves. There are some areas where the leaves are not visible, such as the dirt path in",0,no
238,Is the ground completely covered with reddish leaves? a) yes b) no,b),"The ground is not completely covered with reddish leaves. There is a dirt road surrounded by trees with red leaves, but the ground is not",1,yes
239,Are the shoes placed on the right of the clothes on table? a) yes b) no,a),"Yes, the shoes are placed on the right side of the clothes on the table.",1,yes
240,Are the shoes placed on the right of the clothes on table? a) yes b) no,a),"Yes, the shoes are placed on the right side of the clothes on the table.",1,yes
241,Is the smoke visible from the cup? a) yes b) no,b),A) Yes,0,no
242,Is the smoke visible from the cup? a) yes b) no,a),"Yes, the smoke is visible from the cup, as it is described as a ""smoking cup of coffee.""",1,yes
243,Is the rabbit facing towards right or left? a) right b) left,b),The rabbit is facing towards the left.,1,yes
244,Is the rabbit facing towards right or left? a) right b) left,a),The rabbit is facing towards the left.,0,no
245,Is any woman sitting on a wheelchair in the image? a) yes b) no,b),"Yes, there is an elderly woman sitting on a wheelchair in the image.",0,no
246,Is any woman sitting on a wheelchair in the image? a) yes b) no,a),"Yes, there is a woman sitting on a wheelchair in the image.",1,yes
247,Are there any sliced fruits in the image? a) yes b) no,a),"Yes, there are sliced fruits in the image.",1,yes
248,Are there any sliced fruits in the image? a) yes b) no,b),"Yes, there are sliced fruits in the image.",0,no
249,Is there a slice missing from the cake? a) yes b) no,a),"Yes, there is a slice missing from the cake.",1,yes
250,Is there a slice missing from the cake? a) yes b) no,b),"Yes, there is a slice missing from the cake.",0,no
251,Is there a straw present in the glass? a) yes b) no,a),"Yes, there is a straw present in the glass.",1,yes
252,Is there a straw present in the glass? a) yes b) no,b),"No, there is no straw present in the glass.",1,yes
253,Is the sweater red? a) yes b) no,b),The sweater is not red; it is brown.,1,yes
254,Is the sweater red? a) yes b) no,a),"Yes, the sweater is red.",1,yes
255,Are the cookies placed on a black grill? a) yes b) no,b),"No, the cookies are not placed on a black grill. They are sitting on a cooling rack or a wire rack, which is",1,yes
256,Are the cookies placed on a black grill? a) yes b) no,a),"Yes, the cookies are placed on a black grill.",1,yes
257,Is there a lemon placed inside the glass? a) yes b) no,a),"Yes, there is a lemon placed inside the glass.",1,yes
258,Is there a lemon placed inside the glass? a) yes b) no,b),B) No,1,yes
259,Are the people tilting towards right? a) yes b) no,b),"Yes, the people in the image are tilting towards the right.",0,no
260,Are the people tilting towards right? a) yes b) no,a),"Yes, the people in the image are tilting towards the right.",1,yes
261,How many people are present in the image? a) 5 b) 6,a),There are six people present in the image.,0,no
262,How many people are present in the image? a) 5 b) 6,b),There are six people present in the image.,1,yes
263,Is the cake sliced? a) yes b) no,a),A) Yes,1,yes
264,Is the cake sliced? a) yes b) no,b),B) No,1,yes
265,Is the person tying their shoelaces? a) yes b) no,b),"The person is not tying their shoelaces. They are walking down a road or a track, wearing black pants and black and white",1,yes
266,Is the person tying their shoelaces? a) yes b) no,a),The person is tying their shoelaces.,1,yes
267,Is the kid to the left of the adult? a) yes b) no,a),A) Yes,1,yes
268,Is the kid to the left of the adult? a) yes b) no,b),B) No,1,yes
269,Is there a window present in the image? a) yes b) no,b),"No, there is no window present in the image.",1,yes
270,Is there a window present in the image? a) yes b) no,a),"Yes, there is a window present in the image.",1,yes
271,Is the man standing to the right of the woman from the camera perspective? a) yes b)no,b),B) No,1,yes
272,Is the man standing to the right of the woman from the camera perspective? a) yes b)no,a),"Yes, the man is standing to the right of the woman from the camera perspective.",1,yes
273,Are there any bats flying in the image? a) yes b) no,b),"Yes, there are bats flying in the image.",0,no
274,Are there any bats flying in the image? a) yes b) no,a),"Yes, there are bats flying in the image.",1,yes
275,Are the stairs curved or straight? a) straight b) curved,b),The stairs in the image are curved.,1,yes
276,Are the stairs curved or straight? a) straight b) curved,a),The stairs in the image are curved.,0,no
277,What is the text in the image? a) SUGAR b) UGA,a),"The text in the image is ""SUGAR.""",1,yes
278,What is the text in the image? a) SUGAR b) UGA,b),"The text in the image is ""SUGAR.""",0,no
279,Is the kid in front of the old person Is the kid in front of the old person a) yes b) no,a),A) Yes,1,yes
280,Is the kid in front of the old person Is the kid in front of the old person a) yes b) no,b),B) No,1,yes
281,How many people are there in the image? a) 4 b) 3,a),There are four people in the image: a woman and three children.,1,yes
282,How many people are there in the image? a) 4 b) 3,b),"There are three people in the image: a man, a woman, and a child.",1,yes
283,Is the food placed on a white surface? a) yes b) no,b),"The food is placed on a white surface, which is a cutting board.",0,no
284,Is the food placed on a white surface? a) yes b) no,a),A) Yes,1,yes
285,Is there an apple presnt in the image? a) yes b) no,a),"Yes, there is an apple present in the image.",1,yes
286,Is there an apple presnt in the image? a) yes b) no,b),"Yes, there is an apple present in the image.",0,no
287,Is ther smoke coming out of the cup? a) yes b) no,a),"Yes, there is smoke coming out of the cup.",1,yes
288,Is ther smoke coming out of the cup? a) yes b) no,b),B) No,1,yes
289,Are there any sliced fruits in the image? a) yes b) no,b),"Yes, there are sliced fruits in the image.",0,no
290,Are there any sliced fruits in the image? a) yes b) no,a),"Yes, there are sliced fruits in the image.",1,yes
291,How many eyes does the character have? a) 1 b) 2,a),The character has two eyes.,0,no
292,How many eyes does the character have? a) 1 b) 2,b),The character has two eyes.,1,yes
293,"Does the text in the image read ""MILLER MOTORCARS""? a) yes b) no",a),"Yes, the text in the image reads ""MILLER MOTORCARS.""",1,yes
294,"Does the text in the image read ""MILLER MOTORCARS""? a) yes b) no",a),"Yes, the text in the image reads ""MILLER MOTORCARS.""",1,yes
