Index,Question,Correct Answer,Response,Score,GPT_Grade
200,Which type of eggs are in the corner of the picture? (a) Quail eggs (b) Chicken eggs ,(b),B,1,yes
201,"What are the words in the image: (a) ""Happy Easter"" (b) ""Happy Easter!""",(a),"(b) ""Happy Easter!""",0,no
202,"What are the words in the image: (a) ""Happy Easter"" (b) ""Happy Easter!""",(b),"(b) ""Happy Easter!""",1,yes
203,Are these oranges hanging on the tree? (a) Yes (b) No,(a),Yes,1,yes
204,Are these oranges hanging on the tree? (a) Yes (b) No,(b),No,1,yes
205,Is the coffee cup made of glass? (a) Yes (b) No,(a),No,0,no
206,Is the coffee cup made of glass? (a) Yes (b) No,(b),No,1,yes
207,Is the bell pepper in the picture red or yellow? (a) Red (b) Yellow,(a),The bell pepper in the picture is red.,1,yes
208,Is the bell pepper in the picture red or yellow? (a) Red (b) Yellow,(b),The bell pepper in the picture is yellow.,1,yes
209,Is there an orange with leaves next to the cup? (a) Yes (b) No,(a),A,1,yes
210,Is there an orange with leaves next to the cup? (a) Yes (b) No,(b),B,1,yes
211,Is the heart-shaped object resting on the palm or being held by the fingers? (a) Palm (b) Fingers,(a),The heart-shaped object is being held by the fingers of a person.,0,no
212,Is the heart-shaped object resting on the palm or being held by the fingers? (a) Palm (b) Fingers,(b),The heart-shaped object is being held by the fingers of the person.,1,yes
213,Does the snowman have arms made of branches? (a) Yes (b) No,(a),No,0,no
214,Does the snowman have arms made of branches? (a) Yes (b) No,(b),No,1,yes
215,Are there black stripes on the roof of the car? (a) Yes (b) No,(a),No,0,no
216,Are there black stripes on the roof of the car? (a) Yes (b) No,(b),A,0,no
217,Is the knife laid flat or standing up? (a) Flat (b) Standing up,(a),The knife is standing up on the cutting board.,0,no
218,Is the knife laid flat or standing up? (a) Flat (b) Standing up,(b),The knife is standing up on the cutting board.,1,yes
219,Is the person in the image running towards or away from the camera? (a) Towards (b) Away from,(a),The person in the image is running towards the camera.,1,yes
220,Is the person in the image running towards or away from the camera? (a) Towards (b) Away from,(b),The person in the image is running towards the camera.,0,no
221,"In the photo, is one of the man's hands blocked by the woman? (a) Yes (b) No",(a),No,0,no
222,"In the photo, is one of the man's hands blocked by the woman? (a) Yes (b) No",(b),A,0,no
223,Is there a pomegranate in the picture? (a) Yes (b) No,(a),No,0,no
224,Is there a pomegranate in the picture? (a) Yes (b) No,(b),Yes,0,no
225,Are all the cups and bottles in the picture the same height? (a) Yes (b) No,(a),B,0,no
226,Are all the cups and bottles in the picture the same height? (a) Yes (b) No,(b),B,1,yes
227,Does the person in the picture have something in their hand? (a) Yes (b) No,(a),Yes,1,yes
228,Does the person in the picture have something in their hand? (a) Yes (b) No,(b),Yes,0,no
229,Do all the bottles in the picture face the same direction? (a) Yes (b) No,(a),B,0,no
230,Do all the bottles in the picture face the same direction? (a) Yes (b) No,(b),No,1,yes
231,"Are all easter eggs placed in a container (e.g nest, basket)? (a) Yes (b) No",(a),No,0,no
232,"Are all easter eggs placed in a container (e.g nest, basket)? (a) Yes (b) No",(b),No,1,yes
233,Is the sky in the background dark blue or light blue? (a) Dark blue (b) Light blue,(a),B,0,no
234,Is the sky in the background dark blue or light blue? (a) Dark blue (b) Light blue,(b),B,1,yes
235,Do the individuals in the picture face the front or the back? (a) Front (b) Back,(a),(a) Front,1,yes
236,Do the individuals in the picture face the front or the back? (a) Front (b) Back,(b),"The individuals in the picture face the back, as they are walking away from the camera.",1,yes
237,Is the ground completely covered by red fallen leaves? (a) Yes (b) No,(a),No,0,no
238,Is the ground completely covered by red fallen leaves? (a) Yes (b) No,(b),No,1,yes
239,Are the leather shoes placed side by side or is one on top of the other? (a) Side by side (b) One on top of the other,(a),The leather shoes are placed side by side on the table.,1,yes
240,Are the leather shoes placed side by side or is one on top of the other? (a) Side by side (b) One on top of the other,(b),The leather shoes are placed side by side on the table.,0,no
241,Is the photo taken directly above the coffee or from the side? (a) Above (b) From the side,(a),"The photo is taken directly above the coffee, capturing the coffee cup and its contents.",1,yes
242,Is the photo taken directly above the coffee or from the side? (a) Above (b) From the side,(b),"The photo is taken directly above the coffee, capturing the cup and the steam rising from it.",0,no
243,Is the rabbit in the image facing left or right? (a) Left (b) Right,(a),B,0,no
244,Is the rabbit in the image facing left or right? (a) Left (b) Right,(b),A,0,no
245,Is the elderly person in the picture standing or sitting? (a) Standing (b) Sitting,(a),The elderly person in the picture is sitting.,0,no
246,Is the elderly person in the picture standing or sitting? (a) Standing (b) Sitting,(b),The elderly person in the picture is sitting in a wheelchair.,1,yes
247,Are there any fruits or vegetables in the heart-shaped part of the picture? (a) Yes (b) No,(a),Yes,1,yes
248,Are there any fruits or vegetables in the heart-shaped part of the picture? (a) Yes (b) No,(b),Yes,0,no
249,Is the very top of the cake strawberries or cream? (a) Strawberries (b) Cream,(a),A,1,yes
250,Is the very top of the cake strawberries or cream? (a) Strawberries (b) Cream,(b),(b) Cream,1,yes
251,Is the beverage in the picture contained in a mug or a glass? (a) Mug (b) Glass,(a),The beverage in the picture is contained in a glass.,0,no
252,Is the beverage in the picture contained in a mug or a glass? (a) Mug (b) Glass,(b),The beverage in the picture is contained in a glass.,1,yes
253,Is the design in the picture Santa Claus or a snowman? (a) Santa Claus (b) Snowman,(a),The design in the picture is Santa Claus.,1,yes
254,Is the design in the picture Santa Claus or a snowman? (a) Santa Claus (b) Snowman,(b),The design in the picture is a snowman.,1,yes
255,Are there cookies stacked on top of other cookies? (a) Yes (b) No,(a),Yes,1,yes
256,Are there cookies stacked on top of other cookies? (a) Yes (b) No,(b),Yes,0,no
257,Is there a lemon inside the drink in the cup or are all the lemons outside the drink? (a) There is one inside (b) All are outside,(a),B,0,no
258,Is there a lemon inside the drink in the cup or are all the lemons outside the drink? (a) There is one inside (b) All are outside,(b),B,0,no
259,"In the picture, are the elderly people moving to the left or to the right? (a) Left (b) Right",(a),B,0,no
260,"In the picture, are the elderly people moving to the left or to the right? (a) Left (b) Right",(b),B,1,yes
261,Is the person in the picture sitting on a black or white chair? (a) Black (b) White,(a),The person in the picture is sitting on a black chair.,1,yes
262,Is the person in the picture sitting on a black or white chair? (a) Black (b) White,(b),The person in the picture is sitting on a white chair.,1,yes
263,Is it a slice of cake or a whole cake in the picture? (a) Slice (b) Whole,(a),A slice of cake is in the picture.,1,yes
264,Is it a slice of cake or a whole cake in the picture? (a) Slice (b) Whole,(b),It is a whole cake in the picture.,1,yes
265,Is the shoe in the image tied or untied? (a) Tied (b) Untied,(a),The shoe in the image is tied.,1,yes
266,Is the shoe in the image tied or untied? (a) Tied (b) Untied,(b),The shoe in the image is tied.,0,no
267,Is the child in the picture facing forward or in profile? (a) Facing forward (b) In profile,(a),The child in the picture is facing forward.,1,yes
268,Is the child in the picture facing forward or in profile? (a) Facing forward (b) In profile,(b),The child in the picture is facing forward.,0,no
269,Is the wall behind the bed empty or is there a painting hanging on it? (a) Empty (b) A painting hanging on it,(a),There is a painting hanging on the wall behind the bed.,0,no
270,Is the wall behind the bed empty or is there a painting hanging on it? (a) Empty (b) A painting hanging on it,(b),There is a painting hanging on the wall behind the bed.,1,yes
271,Is the male in the picture wearing a shirt or a T-shirt? (a) Shirt (b) T-shirt,(a),"The male in the picture is wearing a shirt, not a T-shirt.",1,yes
272,Is the male in the picture wearing a shirt or a T-shirt? (a) Shirt (b) T-shirt,(b),"The male in the picture is wearing a shirt, not a T-shirt.",0,no
273,What pattern is in the picture? (a) Pumpkin Lights (b) Bats,(a),A,0,no
274,What pattern is in the picture? (a) Pumpkin Lights (b) Bats,(b),A,0,no
275,How many trees are the treehouse built on? (a) One (b) More than one,(a),(b) More than one,0,no
276,How many trees are the treehouse built on? (a) One (b) More than one,(b),B,1,yes
277,What are all the letter in the image? (a) SUGAR (b) UGA,(a),a,1,yes
278,What are all the letter in the image? (a) SUGAR (b) UGA,(b),(a) SUGAR,0,no
279,Is the elderly person standing or sitting in the picture? (a) Standing (b) Sitting,(a),The elderly person is sitting on a bench in the picture.,0,no
280,Is the elderly person standing or sitting in the picture? (a) Standing (b) Sitting,(b),The elderly person is standing in the picture.,0,no
281,Are there drinks on the table? (a) Yes (b) No,(a),Yes,1,yes
282,Are there drinks on the table? (a) Yes (b) No,(b),B,0,no
283,"In the image, is it a salmon fillet or a salmon steak? (a) Salmon fillet (b) Salmon steak",(a),"In the image, it is a salmon fillet.",1,yes
284,"In the image, is it a salmon fillet or a salmon steak? (a) Salmon fillet (b) Salmon steak",(b),"In the image, it is a salmon fillet.",0,no
285,Do you see a yellow towel in the image? (a) Yes (b) No,(a),Yes,1,yes
286,Do you see a yellow towel in the image? (a) Yes (b) No,(b),No,1,yes
287,Is the cup placed on a surface or being held by hand? (a) Placed on a surface (b) Held by hand,(a),A) Placed on a surface,1,yes
288,Is the cup placed on a surface or being held by hand? (a) Placed on a surface (b) Held by hand,(b),A) Placed on a surface,0,no
289,Is the following statement correct: There are different colors of grapes in the image. (a) Correct (b) Incorrect,(a),A,1,yes
290,Is the following statement correct: There are different colors of grapes in the image. (a) Correct (b) Incorrect,(b),A,0,no
291,Is the minion in the image smiling with its tongue out? (a) Yes (b) No,(a),Yes,1,yes
292,Is the minion in the image smiling with its tongue out? (a) Yes (b) No,(b),No,1,yes
