Index,Question,Correct Answer,Response
74,Is this a top view of the cycle? a) yes b)no,b),"Yes, this is a top view of the cycle."
75,Is the flower bud open or closed? a)open b)close,a),The flower bud is open.
76,Is the flower bud open or closed? a)open b)close,b),The flower bud is open.
77,Is the water light blue or dark blue? a) light blue b) darkblue,b),The water is dark blue.
78,Is the water light blue or dark blue? a) light blue b) darkblue,a),The water is dark blue.
79,Is the snake's head lying on its body? a) yes b) no,a),"Yes, the snake's head is lying on its body."
80,Is the snake's head lying on its body? a) yes b) no,b),"Yes, the snake's head is lying on its body."
81,Are there single or mutiple fishes? a) single b)multiple,a),There is a single fish in the image.
82,Are there single or mutiple fishes? a) single b)multiple,b),"There are multiple fishes in the image, including a shark and a group of fish swimming together."
83,Is the truck facing left or right? a) yes b)no,b),Yes
84,Is the truck facing left or right? a) yes b)no,a),Yes
85,Are the dog ears erected or drooping down? a)erected b)drooping down,a),The dog's ears are erected.
86,Are the dog ears erected or drooping down? a)erected b)drooping down,b),The dog's ears are drooping down.
87,Is a wire visible in the image? a)yes b)no,a),"Yes, a wire is visible in the image, as it is attached to the computer keyboard."
88,Is a wire visible in the image? a)yes b)no,b),No
89,Are there trees present in front of the mosque? a)yes b)no,b),"No, there are no trees present in front of the mosque."
90,Are there trees present in front of the mosque? a)yes b)no,a),"Yes, there are trees present in front of the mosque."
91,What is the text written on the side of the van? a)POLIZEI b)POLICE,a),"The text written on the side of the van is ""POLIZEI."""
92,What is the text written on the side of the van? a)POLIZEI b)POLICE,a),"The text written on the side of the van is ""POLIZEI."""
93,Is the computer screen visible? a)yes b) no,b),No
94,Is the computer screen visible? a)yes b) no,a),No
95,Is this top view of the web or side view? a)toop b)side,a),This is a top view of the web.
96,Is this top view of the web or side view? a)toop b)side,b),This is a side view of the web.
97,Is the keyboard inclined from the surface? a)yes b)no,b),"Yes, the keyboard is inclined from the surface."
98,Is the keyboard inclined from the surface? a)yes b)no,a),"Yes, the keyboard is inclined from the surface."
99,Are there any clouds in the sky? a)yes b)no,a),"Yes, there are clouds in the sky."
100,Are there any clouds in the sky? a)yes b)no,b),No
101,Is the girl with the ball raising both her hands above the head? a)yes b)no,b),"Yes, the girl with the ball is raising both her hands above the head."
102,Is the girl with the ball raising both her hands above the head? a)yes b)no,a),"Yes, the girl with the ball is raising both her hands above the head."
103,Is the syring facing upwards or downwards? a)upwards b)downwards,a),The syringe is facing upwards.
104,Is the syring facing upwards or downwards? a)upwards b)downwards,b),The syringe is facing upwards.
105,How many apples are there in the image? a) single b) multiple,b),There is a single green apple in the image.
106,How many apples are there in the image? a) single b) multiple,a),There is a single green apple in the image.
107,Does the butterfly has antennas? a) yes b)no,a),"Yes, the butterfly has antennas."
108,Does the butterfly has antennas? a) yes b)no,b),"Yes, the butterfly has antennas."
109,Are the bird's wings facing upwards or downwards? a) upwards b) downwards,a),The bird's wings are facing upwards.
110,Are the bird's wings facing upwards or downwards? a) upwards b) downwards,b),The bird's wings are facing upwards.
111,Is the grass green or yellow? a)green b)yellow,b),The grass is yellow.
112,Is the grass green or yellow? a)green b)yellow,a),The grass is green.
113,Is there a window present in the image? a) yes b)no,a),"Yes, there is a window present in the image."
114,Is there a window present in the image? a) yes b)no,b),No
115,Is the snail head on the road or on the mud? a)road b)mud,b),"The snail head is on the mud, not on the road."
116,Is the snail head on the road or on the mud? a)road b)mud,a),The snail head is on the road.
117,Are the complete ears of the cat visible? a)yes b)no,a),"No, the cat's ears are not fully visible in the image."
118,Are the complete ears of the cat visible? a)yes b)no,b),"No, the cat's ears are not visible in the image."
119,Is this the front view of the eagle or the side view? a)front b)side,b),This is a side view of the eagle.
120,Is this the front view of the eagle or the side view? a)front b)side,a),This is the front view of the eagle.
121,Is the corn wrapped around in its leaves? a)yes b)no,a),"Yes, the corn is wrapped around in its leaves."
122,Is the corn wrapped around in its leaves? a)yes b)no,b),"Yes, the corn is wrapped around in its leaves."
123,Is the duck in water? a)yes b)no,b),No
124,Is the duck in water? a)yes b)no,a),"Yes, the duck is in water."
125,Is there are single person in the image? a) yes b)no,a),"Yes, there is a single person in the image."
126,Is there are single person in the image? a) yes b)no,b),No
127,Is the stem of the flower visible? a) yes b)no,b),No
128,Is the stem of the flower visible? a) yes b)no,a),"Yes, the stem of the flower is visible in the image."
129,Is the text 'SCHOOL BUS' completely visible? a) yes b)no,a),"Yes, the text 'SCHOOL BUS' is completely visible in the image."
130,Is the text 'SCHOOL BUS' completely visible? a) yes b)no,b),No
131,Is the brown dog's head towards left or right or left of black dog? a)right b)left,b),a) Right
132,Is the brown dog's head towards left or right or left of black dog? a)right b)left,a),a) Right
133,Are 5 blue buttons present in center of the remote? a) yes b) no,b),"Yes, there are five blue buttons in the center of the remote."
134,Are 5 blue buttons present in center of the remote? a) yes b) no,a),"Yes, there are five blue buttons in the center of the remote."
135,How many glasses are there in the image? a) one b)multiple,a),There is only one glass in the image.
136,How many glasses are there in the image? a) one b)multiple,b),"There are multiple glasses in the image, with one glass filled with red wine and another glass filled with white wine."
137,Is the head of the snake lying on its body? a)yes b)no,a),"Yes, the head of the snake is lying on its body."
138,Is the head of the snake lying on its body? a)yes b)no,b),"Yes, the head of the snake is lying on its body."
139,"Is the text ""LJ55 YEU"" visible in the image? a) yes b) no",b),"Yes, the text ""LJ55 YEU"" is visible in the image."
140,"Is the text ""LJ55 YEU"" visible in the image? a) yes b) no",a),"Yes, the text ""LJ55 YEU"" is visible in the image."
141,Is the elephant trunk rising? a) yes b) no,a),"Yes, the elephant's trunk is rising in the image."
142,Is the elephant trunk rising? a) yes b) no,b),"Yes, the elephant's trunk is rising in the image."
143,Is the bug above or below its resting surface? a) above b) below,a),"The bug is above its resting surface, as it is sitting on a leaf."
144,Is the bug above or below its resting surface? a) above b) below,b),"The bug is above its resting surface, as it is perched on a leaf."
145,Is the glass filled more than 50%? a) yes b) no,b),"Yes, the glass is filled more than 50%."
146,Is the glass filled more than 50%? a) yes b) no,a),No
147,Is the head of the snake visible? a) yes b) no,a),"No, the head of the snake is not visible in the image."
148,Is the head of the snake visible? a) yes b) no,b),"No, the head of the snake is not visible in the image."
149,What color is the piano structure? a) black b) brown,b),The piano structure is brown.
150,What color is the piano structure? a) black b) brown,a),The piano structure is black.
151,Is the sun in front of the running woman? a) yes b) no,a),"No, the sun is not in front of the running woman. The sun is behind her, creating a silhouette effect."
152,Is the sun in front of the running woman? a) yes b) no,a),"No, the sun is not in front of the running woman. The sun is behind her, creating a beautiful backdrop for the scene."
153,Are there any white vegatables present in the image? a) yes b) no,a),"Yes, there are white vegetables present in the image, including onions and garlic."
154,Are there any white vegatables present in the image? a) yes b) no,b),"Yes, there are white vegetables present in the image."
155,Are there any pictures hanging on the bed wall? a)yes b)no,a),"Yes, there are pictures hanging on the bed wall."
156,Are there any pictures hanging on the bed wall? a)yes b)no,b),"Yes, there are pictures hanging on the bed wall."
157,Are there any side mirrors present in the image? a) yes b) no,b),"Yes, there is a side mirror on the red motorcycle in the image."
158,Are there any side mirrors present in the image? a) yes b) no,a),"Yes, there are side mirrors present in the image."
159,Is this the front view of the person or side view? a) front b) side,a),The image shows a side view of the person wearing a hard hat.
160,Is this the front view of the person or side view? a) front b) side,b),The image shows a side view of the person wearing a yellow safety vest.
161,Is the table light brown or dark brown? a)light brown b) dark brown,a),The table is light brown.
162,Is the table light brown or dark brown? a)light brown b) dark brown,b),The table is light brown.
163,"Behind the tree, is there a gap between the two wndows? a) yes b) no",b),"Yes, there is a gap between the two windows behind the tree."
164,"Behind the tree, is there a gap between the two wndows? a) yes b) no",a),"Yes, there is a gap between the two windows behind the tree."
165,Is the bread towards the right or left of glass of juice? a) right b) left,a),a) Right
166,Is the bread towards the right or left of glass of juice? a) right b) left,b),a) Right
167,Are there any fruits or vegetables hanging in the air? a) yes b) no,b),"Yes, there are fruits and vegetables hanging in the air."
168,Are there any fruits or vegetables hanging in the air? a) yes b) no,a),"Yes, there are fruits and vegetables hanging in the air."
169,Is the man on the backside of the woman or on the right side? a) backside b)rigthside,b),The man is on the right side of the woman.
170,Is the man on the backside of the woman or on the right side? a) backside b)rigthside,a),The man is on the right side of the woman.
171,Is the snowman wearing a completely red cap? a) yes b) no,b),"Yes, the snowman is wearing a completely red cap."
172,Is the snowman wearing a completely red cap? a) yes b) no,a),"The snowman is wearing a red cap, but it is not completely red. It has a mix of red and white colors."
173,Are the eggs placed in a nest? a) yes b) no,a),"Yes, the eggs are placed in a nest."
174,Are the eggs placed in a nest? a) yes b) no,b),"No, the eggs are not placed in a nest. They are sitting on top of grass, with a flower in the background."
175,Is the woman wearing shoes? a) yes b) no,b),No
176,Is the woman wearing shoes? a) yes b) no,a),"Yes, the woman is wearing shoes."
177,How many people are there? a) 3 b) 4,b),There are four people in the image.
178,How many people are there? a) 3 b) 4,b),"There are four people in the image: a man, a woman, and two children."
179,What is the text written on the wall? a) MILLER MOTORCARS b) Miller Motorcars,a),"The text written on the wall is ""Miller Motorcars."""
180,What is the text written on the wall? a) MILLER MOTORCARS b) Miller Motorcars,a),"The text written on the wall is ""Miller Motorcars."""
181,Is there smoke in the background of the car? a) yes b) no,a),No
182,Is there smoke in the background of the car? a) yes b) no,b),No
183,Is the bear with the cap towards the right or on left of the other teddy bear? a)right b)left,b),The bear with the cap is on the left side of the other teddy bear.
184,Is the bear with the cap towards the right or on left of the other teddy bear? a)right b)left,a),The bear with the cap is on the right side of the other teddy bear.
185,Are both feet on the weighing machine? a) yes b) no,a),"No, only one foot is on the weighing machine."
186,Are both feet on the weighing machine? a) yes b) no,b),"No, only one foot is on the weighing machine."
187,Is the woman lying on bed or sitting? a) lying b) sitting,a),The woman is lying on a bed.
188,Is the woman lying on bed or sitting? a) lying b) sitting,b),The woman is sitting on the bed.
189,Are both of woman's feet on ground? a) yes b) no,b),"No, only one foot of the woman is on the ground."
190,Are both of woman's feet on ground? a) yes b) no,a),"No, only one foot of the woman is on the ground."
191,Are the eggs grouped together or far apart? a)grouped b) far apart,a),"The eggs are grouped together in a nest, which is a common way to display eggs in a decorative manner."
192,Are the eggs grouped together or far apart? a)grouped b) far apart,b),"The eggs are grouped together, as they are placed in a nest on the grass."
193,Is there a wooden fence present in the picture? a) yes b) no,b),"No, there is no wooden fence in the picture. The image features a table with a variety of vegetables, including broccoli, on"
194,Is there a wooden fence present in the picture? a) yes b) no,a),"Yes, there is a wooden fence present in the picture."
195,Is any carrot near the glass sliced? a) yes b) no,a),"Yes, there is a sliced carrot near the glass."
196,Is any carrot near the glass sliced? a) yes b) no,b),"Yes, there is a sliced carrot near the glass."
197,Is the woman weearing shoes? a) yes b) no,b),No
198,Is the woman weearing shoes? a) yes b) no,a),"Yes, the woman is wearing shoes."
199,Is there a black background? a) yes b) no,a),"Yes, there is a black background in the image."
200,Is there a black background? a) yes b) no,b),No
201,What is the text in the image? a) Happy Easter b) Happy Easter!,a),"The text in the image is ""Happy Easter!"""
202,What is the text in the image? a) Happy Easter b) Happy Easter!,b),"The text in the image is ""Happy Easter!"""
203,Is the number of leaves greater than the number of oranges? a) yes b) no,a),No.
204,Is the number of leaves greater than the number of oranges? a) yes b) no,b),"No, the number of leaves is less than the number of oranges."
205,Is the person holding the glass from the side or from the bottom? a) side b) bottom,a),The person is holding the glass from the side.
206,Is the person holding the glass from the side or from the bottom? a) side b) bottom,b),The person is holding the glass from the side.
207,Is this a top view of the basket? a) yes b) no,b),"Yes, this is a top view of the basket."
208,Is this a top view of the basket? a) yes b) no,a),"Yes, this is a top view of the basket."
209,Is this a top view of the glass? a) yes b) no,b),"Yes, this is a top view of the glass."
210,Is this a top view of the glass? a) yes b) no,a),"Yes, this is a top view of the glass."
211,Is the red object being held in one hand? a) yes b) no,b),"Yes, the red object is being held in one hand."
212,Is the red object being held in one hand? a) yes b) no,a),"Yes, the red object is being held in one hand."
213,Is the snowman looking towards right or left? a) right b) left,b),The snowman is looking towards the right.
214,Is the snowman looking towards right or left? a) right b) left,a),The snowman is looking towards the left.
215,Is the sky visible? a) yes b) no,a),"Yes, the sky is visible in the image."
216,Is the sky visible? a) yes b) no,b),No
217,Is the knife cutting a vegetable? a) yes b) no,b),"Yes, the knife is cutting a vegetable, specifically a cucumber."
218,Is the knife cutting a vegetable? a) yes b) no,a),"Yes, the knife is cutting a vegetable, specifically a pepper."
219,Is the sun behind the person or infront of the person? a) in front b) behind,b),"The sun is behind the person, as the man is running in the sunlight."
220,Is the sun behind the person or infront of the person? a) in front b) behind,a),"The sun is behind the person, as the person is running in the sunlight."
221,Is the man to the right of the woman? a) yes b) no,a),Yes
222,Is the man to the right of the woman? a) yes b) no,a),Yes
223,How many glasses are fully visible in the image? a) 4 b) 6,b),There are six glasses fully visible in the image.
224,How many glasses are fully visible in the image? a) 4 b) 6,a),There are four glasses fully visible in the image.
225,Is this a side view of the fruits or the ffront view? a) side b) front,a),This is a front view of the fruits.
226,Is this a side view of the fruits or the ffront view? a) side b) front,b),This is a front view of the fruits.
227,Are the man and woman holding water bottles? a) yes b) no,a),"Yes, the man and woman are holding water bottles while walking."
228,Are the man and woman holding water bottles? a) yes b) no,b),"No, the man and woman are not holding water bottles."
229,Is there a white background? a) yes b) no,b),"Yes, there is a white background in the image."
230,Is there a white background? a) yes b) no,a),"Yes, there is a white background in the image."
231,Are there any white flowers present? a) yes b) no,a),"Yes, there are white flowers present in the image."
232,Are there any white flowers present? a) yes b) no,b),"No, there are no white flowers present in the image."
233,Is the sky dark blue or light blue? a) dark blue b) light blue,a),The sky is light blue.
234,Is the sky dark blue or light blue? a) dark blue b) light blue,b),The sky is light blue.
235,Are the peolpe facing towards camera or away from the camera? a) front b) away from,a),The people in the image are facing away from the camera.
236,Are the peolpe facing towards camera or away from the camera? a) front b) away from,b),The people in the image are facing away from the camera.
237,Is the ground completely covered with reddish leaves? a) yes b) no,a),"Yes, the ground is completely covered with reddish leaves."
238,Is the ground completely covered with reddish leaves? a) yes b) no,b),"No, the ground is not completely covered with reddish leaves. The image shows a path surrounded by trees with red leaves, but there are still"
239,Are the shoes placed on the right of the clothes on table? a) yes b) no,a),"Yes, the shoes are placed on the right of the clothes on the table."
240,Are the shoes placed on the right of the clothes on table? a) yes b) no,a),"Yes, the shoes are placed on the right of the clothes on the table."
241,Is the smoke visible from the cup? a) yes b) no,b),"Yes, the smoke is visible from the cup."
242,Is the smoke visible from the cup? a) yes b) no,a),"Yes, the smoke is visible from the cup."
243,Is the rabbit facing towards right or left? a) right b) left,b),The rabbit is facing towards the left.
244,Is the rabbit facing towards right or left? a) right b) left,a),The rabbit is facing towards the left.
245,Is any woman sitting on a wheelchair in the image? a) yes b) no,b),"Yes, there is a woman sitting on a wheelchair in the image."
246,Is any woman sitting on a wheelchair in the image? a) yes b) no,a),"Yes, there is a woman sitting on a wheelchair in the image."
247,Are there any sliced fruits in the image? a) yes b) no,a),"Yes, there are sliced fruits in the image."
248,Are there any sliced fruits in the image? a) yes b) no,b),"Yes, there are sliced fruits in the image."
249,Is there a slice missing from the cake? a) yes b) no,a),"Yes, there is a slice missing from the cake."
250,Is there a slice missing from the cake? a) yes b) no,b),"Yes, there is a slice missing from the cake."
251,Is there a straw present in the glass? a) yes b) no,a),"Yes, there is a straw present in the glass."
252,Is there a straw present in the glass? a) yes b) no,b),"No, there is no straw present in the glass."
253,Is the sweater red? a) yes b) no,b),"No, the sweater is not red. It is a brown sweater with a Christmas theme."
254,Is the sweater red? a) yes b) no,a),"Yes, the sweater is red."
255,Are the cookies placed on a black grill? a) yes b) no,b),"No, the cookies are not placed on a black grill. They are placed on a cooling rack, which is typically made of metal or"
256,Are the cookies placed on a black grill? a) yes b) no,a),"Yes, the cookies are placed on a black grill."
257,Is there a lemon placed inside the glass? a) yes b) no,a),"Yes, there is a lemon placed inside the glass."
258,Is there a lemon placed inside the glass? a) yes b) no,b),"Yes, there is a lemon placed inside the glass."
259,Are the people tilting towards right? a) yes b) no,b),"Yes, the people are tilting towards the right."
260,Are the people tilting towards right? a) yes b) no,a),"Yes, the people are tilting towards the right."
261,How many people are present in the image? a) 5 b) 6,a),There are six people present in the image.
262,How many people are present in the image? a) 5 b) 6,b),There are six people present in the image.
263,Is the cake sliced? a) yes b) no,a),"Yes, the cake is sliced."
264,Is the cake sliced? a) yes b) no,b),"Yes, the cake is sliced."
265,Is the person tying their shoelaces? a) yes b) no,b),"No, the person is not tying their shoelaces. They are walking on a path with their shoes already tied."
266,Is the person tying their shoelaces? a) yes b) no,a),"Yes, the person is tying their shoelaces while walking."
267,Is the kid to the left of the adult? a) yes b) no,a),No
268,Is the kid to the left of the adult? a) yes b) no,b),No
269,Is there a window present in the image? a) yes b) no,b),"Yes, there is a window present in the image."
270,Is there a window present in the image? a) yes b) no,a),"Yes, there is a window present in the image."
271,Is the man standing to the right of the woman from the camera perspective? a) yes b)no,b),No
272,Is the man standing to the right of the woman from the camera perspective? a) yes b)no,a),"Yes, the man is standing to the right of the woman from the camera perspective."
273,Are there any bats flying in the image? a) yes b) no,b),"No, there are no bats flying in the image."
274,Are there any bats flying in the image? a) yes b) no,a),"No, there are no bats flying in the image."
275,Are the stairs curved or straight? a) straight b) curved,b),The stairs are curved.
276,Are the stairs curved or straight? a) straight b) curved,a),The stairs are curved.
277,What is the text in the image? a) SUGAR b) UGA,a),"The text in the image is ""SUGAR."""
278,What is the text in the image? a) SUGAR b) UGA,b),The text in the image is a) SUGAR.
279,Is the kid in front of the old person Is the kid in front of the old person a) yes b) no,a),Yes
280,Is the kid in front of the old person Is the kid in front of the old person a) yes b) no,b),Yes
281,How many people are there in the image? a) 4 b) 3,a),There are four people in the image.
282,How many people are there in the image? a) 4 b) 3,b),"There are three people in the image: a man, a woman, and a child."
283,Is the food placed on a white surface? a) yes b) no,b),"No, the food is not placed on a white surface. It is placed on a black surface, which contrasts with the colors of the food."
284,Is the food placed on a white surface? a) yes b) no,a),"Yes, the food is placed on a white surface, which is a marble countertop."
285,Is there an apple presnt in the image? a) yes b) no,a),"Yes, there is an apple present in the image."
286,Is there an apple presnt in the image? a) yes b) no,b),"No, there is no apple present in the image."
287,Is ther smoke coming out of the cup? a) yes b) no,a),"Yes, there is smoke coming out of the cup."
288,Is ther smoke coming out of the cup? a) yes b) no,b),No
289,Are there any sliced fruits in the image? a) yes b) no,b),"No, there are no sliced fruits in the image. The fruits are whole and uncut."
290,Are there any sliced fruits in the image? a) yes b) no,a),"Yes, there are sliced fruits in the image, including oranges, lemons, and grapefruits."
291,How many eyes does the character have? a) 1 b) 2,a),The character has two eyes.
292,How many eyes does the character have? a) 1 b) 2,b),The character has two eyes.
293,"Does the text in the image read ""MILLER MOTORCARS""? a) yes b) no",a),"Yes, the text in the image reads ""MILLER MOTORCARS."""
294,"Does the text in the image read ""MILLER MOTORCARS""? a) yes b) no",a),"Yes, the text in the image reads ""MILLER MOTORCARS."""
295,Do the hearts carry a white outline? a) yes b) no,a),"Yes, the hearts in the image have a white outline."
296,Do the hearts carry a white outline? a) yes b) no,b),"Yes, the hearts in the image carry a white outline."
297,Are the eggs placed in a nest? a) yes b) no,b),"No, the eggs are not placed in a nest. They are simply sitting on a table or counter."
298,Are the eggs placed in a nest? a) yes b) no,a),"Yes, the eggs are placed in a nest."
299,Is there a traffic signal present in the image? a) yes b) no,a),"Yes, there is a traffic signal present in the image."
300,Is there a traffic signal present in the image? a) yes b) no,b),"No, there is no traffic signal present in the image."
