Index,Question,Correct Answer,Response
54,Are there colored medicine tablets in the picture or just white? a)multi-colored b)just white,a),"There are colored medicine tablets in the picture, including red, blue, and yellow pills."
55,Are the bannanas covering the whole image frame? a) yes b) no,b),B) No
56,Are the bannanas covering the whole image frame? a) yes b) no,a),B) No
57,Is the allegator in water or on land? a)water b)land,a),"The alligator is in the water, with its head sticking out of the water and surrounded by plants."
58,Is the allegator in water or on land? a)water b)land,b),"The alligator is in water, specifically in a pond or a creek."
59,Are there any chains on the lock? a)yes b)no,b),Yes
60,Are there any chains on the lock? a)yes b)no,a),Yes
61,Is the letter 'J' visible on the keyboard? a)yes b)no,a),Yes
62,Is the letter 'J' visible on the keyboard? a)yes b)no,b),Yes
63,Is the background behind flowers mostly green? a)yes b)no,b),A) Yes
64,Is the background behind flowers mostly green? a)yes b)no,a),A) Yes
65,Are the keys black or white? a)black b)white,b),The keys are white.
66,Are the keys black or white? a)black b)white,a),The keys are black.
67,Are there any clouds in the sky? a)yes b)no,a),Yes
68,Are there any clouds in the sky? a)yes b)no,b),B
69,Is the snake facing towards left or right? a) right b) left,b),B
70,Is the snake facing towards left or right? a) right b) left,a),A) right
71,Is the lock closed or open? a) closed b)open,a),"The lock is closed, with the keyhole facing the camera."
72,Is the lock closed or open? a) closed b)open,b),The lock is closed.
73,Is this a top view of the cycle? a) yes b)no,a),No
74,Is this a top view of the cycle? a) yes b)no,b),Yes
75,Is the flower bud open or closed? a)open b)close,a),The flower bud is open in the image.
76,Is the flower bud open or closed? a)open b)close,b),The flower bud is open in the image.
77,Is the water light blue or dark blue? a) light blue b) darkblue,b),The water is light blue.
78,Is the water light blue or dark blue? a) light blue b) darkblue,a),The water is dark blue.
79,Is the snake's head lying on its body? a) yes b) no,a),B
80,Is the snake's head lying on its body? a) yes b) no,b),B
81,Are there single or mutiple fishes? a) single b)multiple,a),A) single
82,Are there single or mutiple fishes? a) single b)multiple,b),B) Multiple
83,Is the truck facing left or right? a) yes b)no,b),No
84,Is the truck facing left or right? a) yes b)no,a),No
85,Are the dog ears erected or drooping down? a)erected b)drooping down,a),The dog ears are erected in the image.
86,Are the dog ears erected or drooping down? a)erected b)drooping down,b),The dog's ears are drooping down in the image.
87,Is a wire visible in the image? a)yes b)no,a),"Yes, a wire is visible in the image, running behind the keyboard."
88,Is a wire visible in the image? a)yes b)no,b),No
89,Are there trees present in front of the mosque? a)yes b)no,b),B
90,Are there trees present in front of the mosque? a)yes b)no,a),Yes
91,What is the text written on the side of the van? a)POLIZEI b)POLICE,a),"The text written on the side of the van is ""POLICE."""
92,What is the text written on the side of the van? a)POLIZEI b)POLICE,a),"The text written on the side of the van is ""POLICE."""
93,Is the computer screen visible? a)yes b) no,b),B
94,Is the computer screen visible? a)yes b) no,a),No
95,Is this top view of the web or side view? a)toop b)side,a),A) Top view
96,Is this top view of the web or side view? a)toop b)side,b),Top view of the web
97,Is the keyboard inclined from the surface? a)yes b)no,b),B
98,Is the keyboard inclined from the surface? a)yes b)no,a),Yes
99,Are there any clouds in the sky? a)yes b)no,a),Yes
100,Are there any clouds in the sky? a)yes b)no,b),B
101,Is the girl with the ball raising both her hands above the head? a)yes b)no,b),A) Yes
102,Is the girl with the ball raising both her hands above the head? a)yes b)no,a),A) Yes
103,Is the syring facing upwards or downwards? a)upwards b)downwards,a),The syringe is facing upwards in the image.
104,Is the syring facing upwards or downwards? a)upwards b)downwards,b),The syringe is facing upwards in the image.
105,How many apples are there in the image? a) single b) multiple,b),There is a single green apple in the image.
106,How many apples are there in the image? a) single b) multiple,a),There is a single green apple in the image.
107,Does the butterfly has antennas? a) yes b)no,a),Yes
108,Does the butterfly has antennas? a) yes b)no,b),Yes
109,Are the bird's wings facing upwards or downwards? a) upwards b) downwards,a),The bird's wings are facing upwards in the image.
110,Are the bird's wings facing upwards or downwards? a) upwards b) downwards,b),"The bird's wings are facing upwards, as it is flying through the air."
111,Is the grass green or yellow? a)green b)yellow,b),B) Yellow
112,Is the grass green or yellow? a)green b)yellow,a),The grass is green in the image.
113,Is there a window present in the image? a) yes b)no,a),Yes
114,Is there a window present in the image? a) yes b)no,b),No
115,Is the snail head on the road or on the mud? a)road b)mud,b),The snail head is on the mud.
116,Is the snail head on the road or on the mud? a)road b)mud,a),"The snail head is on the road, not on the mud."
117,Are the complete ears of the cat visible? a)yes b)no,a),No
118,Are the complete ears of the cat visible? a)yes b)no,b),No
119,Is this the front view of the eagle or the side view? a)front b)side,b),The image shows the front view of the eagle.
120,Is this the front view of the eagle or the side view? a)front b)side,a),This is a front view of the eagle.
121,Is the corn wrapped around in its leaves? a)yes b)no,a),B
122,Is the corn wrapped around in its leaves? a)yes b)no,b),B
123,Is the duck in water? a)yes b)no,b),B) No
124,Is the duck in water? a)yes b)no,a),A) Yes
125,Is there are single person in the image? a) yes b)no,a),"No, there is a single person in the image, a woman sitting in a movie theater."
126,Is there are single person in the image? a) yes b)no,b),"No, there are two people in the image."
127,Is the stem of the flower visible? a) yes b)no,b),Yes
128,Is the stem of the flower visible? a) yes b)no,a),Yes
129,Is the text 'SCHOOL BUS' completely visible? a) yes b)no,a),B) No
130,Is the text 'SCHOOL BUS' completely visible? a) yes b)no,b),B) No
131,Is the brown dog's head towards left or right or left of black dog? a)right b)left,b),B
132,Is the brown dog's head towards left or right or left of black dog? a)right b)left,a),B
133,Are 5 blue buttons present in center of the remote? a) yes b) no,b),A) Yes
134,Are 5 blue buttons present in center of the remote? a) yes b) no,a),A) Yes
135,How many glasses are there in the image? a) one b)multiple,a),There is only one glass in the image.
136,How many glasses are there in the image? a) one b)multiple,b),There are two glasses in the image.
137,Is the head of the snake lying on its body? a)yes b)no,a),A) Yes
138,Is the head of the snake lying on its body? a)yes b)no,b),B
139,"Is the text ""LJ55 YEU"" visible in the image? a) yes b) no",b),A) Yes
140,"Is the text ""LJ55 YEU"" visible in the image? a) yes b) no",a),A) Yes
141,Is the elephant trunk rising? a) yes b) no,a),B
142,Is the elephant trunk rising? a) yes b) no,b),B
143,Is the bug above or below its resting surface? a) above b) below,a),B) below
144,Is the bug above or below its resting surface? a) above b) below,b),B) below
145,Is the glass filled more than 50%? a) yes b) no,b),A) Yes
146,Is the glass filled more than 50%? a) yes b) no,a),B
147,Is the head of the snake visible? a) yes b) no,a),No
148,Is the head of the snake visible? a) yes b) no,b),No
149,What color is the piano structure? a) black b) brown,b),The piano structure is brown.
150,What color is the piano structure? a) black b) brown,a),The piano structure is black.
151,Is the sun in front of the running woman? a) yes b) no,a),B
152,Is the sun in front of the running woman? a) yes b) no,a),B
153,Are there any white vegatables present in the image? a) yes b) no,a),No
154,Are there any white vegatables present in the image? a) yes b) no,b),B) No
155,Are there any pictures hanging on the bed wall? a)yes b)no,a),Yes
156,Are there any pictures hanging on the bed wall? a)yes b)no,b),No
157,Are there any side mirrors present in the image? a) yes b) no,b),No
158,Are there any side mirrors present in the image? a) yes b) no,a),Yes
159,Is this the front view of the person or side view? a) front b) side,a),B) side
160,Is this the front view of the person or side view? a) front b) side,b),B) side view
161,Is the table light brown or dark brown? a)light brown b) dark brown,a),The table is light brown.
162,Is the table light brown or dark brown? a)light brown b) dark brown,b),The table is light brown.
163,"Behind the tree, is there a gap between the two wndows? a) yes b) no",b),Yes
164,"Behind the tree, is there a gap between the two wndows? a) yes b) no",a),Yes
165,Is the bread towards the right or left of glass of juice? a) right b) left,a),Right
166,Is the bread towards the right or left of glass of juice? a) right b) left,b),B) Left
167,Are there any fruits or vegetables hanging in the air? a) yes b) no,b),No
168,Are there any fruits or vegetables hanging in the air? a) yes b) no,a),Yes
169,Is the man on the backside of the woman or on the right side? a) backside b)rigthside,b),B) Right side
170,Is the man on the backside of the woman or on the right side? a) backside b)rigthside,a),B) Right side
171,Is the snowman wearing a completely red cap? a) yes b) no,b),B
172,Is the snowman wearing a completely red cap? a) yes b) no,a),No
173,Are the eggs placed in a nest? a) yes b) no,a),Yes
174,Are the eggs placed in a nest? a) yes b) no,b),No
175,Is the woman wearing shoes? a) yes b) no,b),B
176,Is the woman wearing shoes? a) yes b) no,a),A) Yes
177,How many people are there? a) 3 b) 4,b),"There are four people in the image: a man, a woman, and two children."
178,How many people are there? a) 3 b) 4,b),"There are three people in the image: a man, a woman, and a child."
179,What is the text written on the wall? a) MILLER MOTORCARS b) Miller Motorcars,a),a) MILLER MOTORCARS
180,What is the text written on the wall? a) MILLER MOTORCARS b) Miller Motorcars,a),a) MILLER MOTORCARS
181,Is there smoke in the background of the car? a) yes b) no,a),B
182,Is there smoke in the background of the car? a) yes b) no,b),B
183,Is the bear with the cap towards the right or on left of the other teddy bear? a)right b)left,b),B
184,Is the bear with the cap towards the right or on left of the other teddy bear? a)right b)left,a),A) right
185,Are both feet on the weighing machine? a) yes b) no,a),No
186,Are both feet on the weighing machine? a) yes b) no,b),No
187,Is the woman lying on bed or sitting? a) lying b) sitting,a),The woman is lying on a bed.
188,Is the woman lying on bed or sitting? a) lying b) sitting,b),The woman is lying on the bed.
189,Are both of woman's feet on ground? a) yes b) no,b),"No, only one of the woman's feet is on the ground, while the other foot is in the air."
190,Are both of woman's feet on ground? a) yes b) no,a),"No, only one foot is on the ground, while the other foot is in the air."
191,Are the eggs grouped together or far apart? a)grouped b) far apart,a),"The eggs are grouped together, sitting in a pile of grass."
192,Are the eggs grouped together or far apart? a)grouped b) far apart,b),"The eggs are grouped together, sitting on the grass."
193,Is there a wooden fence present in the picture? a) yes b) no,b),B
194,Is there a wooden fence present in the picture? a) yes b) no,a),Yes
195,Is any carrot near the glass sliced? a) yes b) no,a),Yes
196,Is any carrot near the glass sliced? a) yes b) no,b),A) Yes
197,Is the woman weearing shoes? a) yes b) no,b),B
198,Is the woman weearing shoes? a) yes b) no,a),B
199,Is there a black background? a) yes b) no,a),Yes
200,Is there a black background? a) yes b) no,b),No
201,What is the text in the image? a) Happy Easter b) Happy Easter!,a),b) Happy Easter!
202,What is the text in the image? a) Happy Easter b) Happy Easter!,b),"The text in the image is ""Happy Easter!"""
203,Is the number of leaves greater than the number of oranges? a) yes b) no,a),No
204,Is the number of leaves greater than the number of oranges? a) yes b) no,b),No
205,Is the person holding the glass from the side or from the bottom? a) side b) bottom,a),The person is holding the glass from the bottom.
206,Is the person holding the glass from the side or from the bottom? a) side b) bottom,b),The person is holding the glass from the bottom.
207,Is this a top view of the basket? a) yes b) no,b),A) Yes
208,Is this a top view of the basket? a) yes b) no,a),A) Yes
209,Is this a top view of the glass? a) yes b) no,b),B
210,Is this a top view of the glass? a) yes b) no,a),A) Yes
211,Is the red object being held in one hand? a) yes b) no,b),B
212,Is the red object being held in one hand? a) yes b) no,a),B
213,Is the snowman looking towards right or left? a) right b) left,b),A) Right
214,Is the snowman looking towards right or left? a) right b) left,a),B
215,Is the sky visible? a) yes b) no,a),Yes
216,Is the sky visible? a) yes b) no,b),B
217,Is the knife cutting a vegetable? a) yes b) no,b),Yes
218,Is the knife cutting a vegetable? a) yes b) no,a),Yes
219,Is the sun behind the person or infront of the person? a) in front b) behind,b),B) Behind
220,Is the sun behind the person or infront of the person? a) in front b) behind,a),B) Behind
221,Is the man to the right of the woman? a) yes b) no,a),A) Yes
222,Is the man to the right of the woman? a) yes b) no,a),Yes
223,How many glasses are fully visible in the image? a) 4 b) 6,b),B) 6
224,How many glasses are fully visible in the image? a) 4 b) 6,a),There are four glasses fully visible in the image.
225,Is this a side view of the fruits or the ffront view? a) side b) front,a),A) side view
226,Is this a side view of the fruits or the ffront view? a) side b) front,b),B) Front
227,Are the man and woman holding water bottles? a) yes b) no,a),Yes
228,Are the man and woman holding water bottles? a) yes b) no,b),No
229,Is there a white background? a) yes b) no,b),No
230,Is there a white background? a) yes b) no,a),Yes
231,Are there any white flowers present? a) yes b) no,a),Yes
232,Are there any white flowers present? a) yes b) no,b),No
233,Is the sky dark blue or light blue? a) dark blue b) light blue,a),B) Light blue
234,Is the sky dark blue or light blue? a) dark blue b) light blue,b),B) Light blue
235,Are the peolpe facing towards camera or away from the camera? a) front b) away from,a),The people in the image are facing away from the camera.
236,Are the peolpe facing towards camera or away from the camera? a) front b) away from,b),The people in the image are facing away from the camera.
237,Is the ground completely covered with reddish leaves? a) yes b) no,a),B
238,Is the ground completely covered with reddish leaves? a) yes b) no,b),B
239,Are the shoes placed on the right of the clothes on table? a) yes b) no,a),B
240,Are the shoes placed on the right of the clothes on table? a) yes b) no,a),B
241,Is the smoke visible from the cup? a) yes b) no,b),No
242,Is the smoke visible from the cup? a) yes b) no,a),Yes
243,Is the rabbit facing towards right or left? a) right b) left,b),B) Left
244,Is the rabbit facing towards right or left? a) right b) left,a),B) Left
245,Is any woman sitting on a wheelchair in the image? a) yes b) no,b),Yes
246,Is any woman sitting on a wheelchair in the image? a) yes b) no,a),"No, there is no woman sitting on a wheelchair in the image. Instead, there is an older woman sitting on a bench."
247,Are there any sliced fruits in the image? a) yes b) no,a),Yes
248,Are there any sliced fruits in the image? a) yes b) no,b),Yes
249,Is there a slice missing from the cake? a) yes b) no,a),Yes
250,Is there a slice missing from the cake? a) yes b) no,b),No
251,Is there a straw present in the glass? a) yes b) no,a),B
252,Is there a straw present in the glass? a) yes b) no,b),B
253,Is the sweater red? a) yes b) no,b),B
254,Is the sweater red? a) yes b) no,a),A) Yes
255,Are the cookies placed on a black grill? a) yes b) no,b),No
256,Are the cookies placed on a black grill? a) yes b) no,a),B) No
257,Is there a lemon placed inside the glass? a) yes b) no,a),B
258,Is there a lemon placed inside the glass? a) yes b) no,b),B
259,Are the people tilting towards right? a) yes b) no,b),A) Yes
260,Are the people tilting towards right? a) yes b) no,a),Yes
261,How many people are present in the image? a) 5 b) 6,a),There are six people present in the image.
262,How many people are present in the image? a) 5 b) 6,b),There are six people present in the image.
263,Is the cake sliced? a) yes b) no,a),Yes
264,Is the cake sliced? a) yes b) no,b),Yes
265,Is the person tying their shoelaces? a) yes b) no,b),B
266,Is the person tying their shoelaces? a) yes b) no,a),B
267,Is the kid to the left of the adult? a) yes b) no,a),A) Yes
268,Is the kid to the left of the adult? a) yes b) no,b),No
269,Is there a window present in the image? a) yes b) no,b),No
270,Is there a window present in the image? a) yes b) no,a),Yes
271,Is the man standing to the right of the woman from the camera perspective? a) yes b)no,b),No
272,Is the man standing to the right of the woman from the camera perspective? a) yes b)no,a),A) Yes
273,Are there any bats flying in the image? a) yes b) no,b),No
274,Are there any bats flying in the image? a) yes b) no,a),Yes
275,Are the stairs curved or straight? a) straight b) curved,b),The stairs are curved.
276,Are the stairs curved or straight? a) straight b) curved,a),The stairs in the image are curved.
277,What is the text in the image? a) SUGAR b) UGA,a),a) SUGAR
278,What is the text in the image? a) SUGAR b) UGA,b),"The text in the image is ""SUGAR."""
279,Is the kid in front of the old person Is the kid in front of the old person a) yes b) no,a),A
280,Is the kid in front of the old person Is the kid in front of the old person a) yes b) no,b),A
281,How many people are there in the image? a) 4 b) 3,a),There are four people in the image: a woman and three children.
282,How many people are there in the image? a) 4 b) 3,b),"There are three people in the image: a man, a woman, and a child."
283,Is the food placed on a white surface? a) yes b) no,b),No
284,Is the food placed on a white surface? a) yes b) no,a),A) Yes
285,Is there an apple presnt in the image? a) yes b) no,a),Yes
286,Is there an apple presnt in the image? a) yes b) no,b),No
287,Is ther smoke coming out of the cup? a) yes b) no,a),A) Yes
288,Is ther smoke coming out of the cup? a) yes b) no,b),B
289,Are there any sliced fruits in the image? a) yes b) no,b),No
290,Are there any sliced fruits in the image? a) yes b) no,a),Yes
291,How many eyes does the character have? a) 1 b) 2,a),The character has two eyes.
292,How many eyes does the character have? a) 1 b) 2,b),The character has two eyes.
293,"Does the text in the image read ""MILLER MOTORCARS""? a) yes b) no",a),A) Yes
294,"Does the text in the image read ""MILLER MOTORCARS""? a) yes b) no",a),A) Yes
295,Do the hearts carry a white outline? a) yes b) no,a),Yes
296,Do the hearts carry a white outline? a) yes b) no,b),No
297,Are the eggs placed in a nest? a) yes b) no,b),No
298,Are the eggs placed in a nest? a) yes b) no,a),Yes
299,Is there a traffic signal present in the image? a) yes b) no,a),Yes
300,Is there a traffic signal present in the image? a) yes b) no,b),No
