Index,Question,Correct Answer,Response
123,Is this duck facing left or right from the camera's perspective? (a) Left (b) Right,(a),A
124,Is this duck facing left or right from the camera's perspective? (a) Left (b) Right,(b),A
125,Can you see a door in this image? (a) Yes (b) No,(a),Yes
126,Can you see a door in this image? (a) Yes (b) No,(b),No
127,Is the flower's center protruding or indented? (a) Protruding (b) Indented,(a),B
128,Is the flower's center protruding or indented? (a) Protruding (b) Indented,(b),(b) Indented
129,"From the camera's perspective, are the words ""SCHOOL BUS"" in the picture facing straight or oriented at an angle? (a) Directly towards the camera (b) At an angle",(a),B) At an angle
130,"From the camera's perspective, are the words ""SCHOOL BUS"" in the picture facing straight or oriented at an angle? (a) Directly towards the camera (b) At an angle",(b),B) At an angle
131,Where is the yellow animal's head lying in this image? (a) Floor (b) Carpet,(a),The yellow animal's head is lying on the floor in this image.
132,Where is the yellow animal's head lying in this image? (a) Floor (b) Carpet,(b),The yellow animal's head is lying on the floor in this image.
133,What does the center button say? (a) OK/SELECT (b) OK,(a),A
134,What does the center button say? (a) OK/SELECT (b) OK,(b),A
135,How many cup(s) of drink are there in the image? (a) 1 (b) 2,(a),There is only one cup of drink in the image.
136,How many cup(s) of drink are there in the image? (a) 1 (b) 2,(b),There are two cups of drink in the image.
137,"In the picture, how is the snake primarily positioned? (a) Coiled (b) Head extended",(a),"The snake is primarily positioned with its head extended, as it is seen resting its head on a rock."
138,"In the picture, how is the snake primarily positioned? (a) Coiled (b) Head extended",(b),"The snake is primarily positioned with its head extended, as it is seen hanging off a branch in the image."
139,Can you see the side windows of the vehicles? (a) Yes (b) No,(a),Yes
140,Can you see the side windows of the vehicles? (a) Yes (b) No,(b),No
141,Is the elephant's trunk raised or lowered? (a) Raised (b) Lowered,(a),The elephant's trunk is raised in the image.
142,Is the elephant's trunk raised or lowered? (a) Raised (b) Lowered,(b),The elephant's trunk is raised in the image.
143,Is the ladybug positioned upright or upside down? (a) Upright (b) Upside down,(a),The ladybug is positioned upside down on the branch.
144,Is the ladybug positioned upright or upside down? (a) Upright (b) Upside down,(b),The ladybug is positioned upside down.
145,Is the photo taken looking down from above or looking up from below? (a) Looking down from above (b) Looking up from below,(a),A
146,Is the photo taken looking down from above or looking up from below? (a) Looking down from above (b) Looking up from below,(b),A
147,"In the picture, is the snake's head visible or not visible? (a) Visible (b) Not visible",(a),"In the picture, the snake's head is not visible."
148,"In the picture, is the snake's head visible or not visible? (a) Visible (b) Not visible",(b),"In the picture, the snake's head is not visible."
149,Is the piano's back panel on the left or right side? (a) Left (b) Right,(a),B
150,Is the piano's back panel on the left or right side? (a) Left (b) Right,(b),B
151,The image captures a woman running from: (a) Back view (b) Side view,(a),The image captures a woman running from a back view.
152,The image captures a woman running from: (a) Back view (b) Side view,(b),A (b) side view of the woman running.
153,How many red apples are there in the image? (a) One (b) More than one,(a),B
154,How many red apples are there in the image? (a) One (b) More than one,(b),B
155,Is the vase beside the bedside table or on the windowsill? (a) Beside the bedside Table (b) On the Windowsill,(a),A) Beside the bedside table
156,Is the vase beside the bedside table or on the windowsill? (a) Beside the bedside Table (b) On the Windowsill,(b),B
157,Is the frame at the front of the motorcycle primarily silver or black in color? (a) Silver (b) Black,(a),The frame at the front of the motorcycle is primarily silver in color.
158,Is the frame at the front of the motorcycle primarily silver or black in color? (a) Silver (b) Black,(b),The frame at the front of the motorcycle is primarily silver in color.
159,"For the people operating the machine in the image, can you see one arm or both arms? (a) One arm (b) Both arms",(a),(a) One arm
160,"For the people operating the machine in the image, can you see one arm or both arms? (a) One arm (b) Both arms",(b),Both arms
161,Is the minute hand of the clock closer to 12 or closer to 1? (a) 12 (b) 1 ,(a),B
162,Is the minute hand of the clock closer to 12 or closer to 1? (a) 12 (b) 1 ,(b),B
163,Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows? (a) In front of a large window (b) In front of a wall between two windows,(a),The Christmas tree is positioned in front of a large window.
164,Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows? (a) In front of a large window (b) In front of a wall between two windows,(b),The Christmas tree is positioned in front of a large window.
165,"In this image, are the berries placed (a) On a dish (b) In bowls of yogurts",(a),The berries are placed in bowls of yogurts.
166,"In this image, are the berries placed (a) On a dish (b) In bowls of yogurts",(b),(a) The berries are placed on a dish.
167,Are some fruits cut open or are all the fruits uncut? (a) Some are cut open (b) All are uncut,(a),(a) Some are cut open
168,Are some fruits cut open or are all the fruits uncut? (a) Some are cut open (b) All are uncut,(b),A) Some are cut open
169,Is there a knee visible in the image? (a) Yes (b) No,(a),Yes
170,Is there a knee visible in the image? (a) Yes (b) No,(b),No
171,Does the snowman in the picture have a mouth? (a) Yes (b) No,(a),Yes
172,Does the snowman in the picture have a mouth? (a) Yes (b) No,(b),No
173,Is the decoration on the Easter egg flat or raised? (a) Flat (b) Raised,(a),The decoration on the Easter egg is raised.
174,Is the decoration on the Easter egg flat or raised? (a) Flat (b) Raised,(b),The decoration on the Easter egg is raised.
175,"In the image, is the nail polish on the toes dark or light in color? (a) Dark (b) Light",(a),(a) Dark
176,"In the image, is the nail polish on the toes dark or light in color? (a) Dark (b) Light",(b),(b) Light
177,"In the picture, is the person facing the ocean or turned sideways to the ocean? (a) Facing the ocean (b) Turned sideways to the ocean",(a),"The person is facing the ocean, with the sun setting behind them."
178,"In the picture, is the person facing the ocean or turned sideways to the ocean? (a) Facing the ocean (b) Turned sideways to the ocean",(b),"The person in the picture is facing the ocean, with the sun shining on them."
179,How many wheels can you see in the image? (a) 1 (b) 2,(a),B
180,How many wheels can you see in the image? (a) 1 (b) 2,(b),B
181,Is the stripe in the middle of the car blue or white? (a) Blue (b) White,(a),Blue
182,Is the stripe in the middle of the car blue or white? (a) Blue (b) White,(b),B
183,Are the teddy bears holding hands or leaning against each other? (a) Holding hands (b) Leaning against,(a),The teddy bears are holding hands.
184,Are the teddy bears holding hands or leaning against each other? (a) Holding hands (b) Leaning against,(b),The teddy bears are holding hands.
185,Is the person in the picture already standing on the weighing scale? (a) Yes (b) No,(a),No
186,Is the person in the picture already standing on the weighing scale? (a) Yes (b) No,(b),No
187,"In the picture, is the person stretching out one arm or both arms above their head? (a) One arm (b) Both arms",(a),"In the picture, the person is stretching out both arms above their head."
188,"In the picture, is the person stretching out one arm or both arms above their head? (a) One arm (b) Both arms",(b),The person in the picture is stretching out both arms above their head.
189,Is the person in the picture on the grass or on the gravel path? (a) Grass (b) Gravel path,(a),"The person in the picture is on the grass, not on the gravel path."
190,Is the person in the picture on the grass or on the gravel path? (a) Grass (b) Gravel path,(b),The person in the picture is on the gravel path.
191,Is there a flower next to the Easter egg in the picture? (a) Yes (b) No,(a),Yes
192,Is there a flower next to the Easter egg in the picture? (a) Yes (b) No,(b),No
193,Are these vegetables placed on the floor or on the soil? (a) Floor (b) Soil,(a),The vegetables are placed on the floor.
194,Are these vegetables placed on the floor or on the soil? (a) Floor (b) Soil,(b),"The vegetables are placed on the soil, not on the floor."
195,Are juice and all carrots on the same surface? (a) Yes (b) No,(a),B
196,Are juice and all carrots on the same surface? (a) Yes (b) No,(b),No
197,Is the person weighing themselves barefoot? (a) Yes (b) No,(a),Yes
198,Is the person weighing themselves barefoot? (a) Yes (b) No,(b),No
199,Which type of eggs are in the corner of the picture? (a) Quail eggs (b) Chicken eggs ,(a),B
200,Which type of eggs are in the corner of the picture? (a) Quail eggs (b) Chicken eggs ,(b),B
201,"What are the words in the image: (a) ""Happy Easter"" (b) ""Happy Easter!""",(a),"(b) ""Happy Easter!"""
202,"What are the words in the image: (a) ""Happy Easter"" (b) ""Happy Easter!""",(b),"(b) ""Happy Easter!"""
203,Are these oranges hanging on the tree? (a) Yes (b) No,(a),Yes
204,Are these oranges hanging on the tree? (a) Yes (b) No,(b),No
205,Is the coffee cup made of glass? (a) Yes (b) No,(a),No
206,Is the coffee cup made of glass? (a) Yes (b) No,(b),No
207,Is the bell pepper in the picture red or yellow? (a) Red (b) Yellow,(a),The bell pepper in the picture is red.
208,Is the bell pepper in the picture red or yellow? (a) Red (b) Yellow,(b),The bell pepper in the picture is yellow.
209,Is there an orange with leaves next to the cup? (a) Yes (b) No,(a),A
210,Is there an orange with leaves next to the cup? (a) Yes (b) No,(b),B
211,Is the heart-shaped object resting on the palm or being held by the fingers? (a) Palm (b) Fingers,(a),The heart-shaped object is being held by the fingers of a person.
212,Is the heart-shaped object resting on the palm or being held by the fingers? (a) Palm (b) Fingers,(b),The heart-shaped object is being held by the fingers of the person.
213,Does the snowman have arms made of branches? (a) Yes (b) No,(a),No
214,Does the snowman have arms made of branches? (a) Yes (b) No,(b),No
215,Are there black stripes on the roof of the car? (a) Yes (b) No,(a),No
216,Are there black stripes on the roof of the car? (a) Yes (b) No,(b),A
217,Is the knife laid flat or standing up? (a) Flat (b) Standing up,(a),The knife is standing up on the cutting board.
218,Is the knife laid flat or standing up? (a) Flat (b) Standing up,(b),The knife is standing up on the cutting board.
219,Is the person in the image running towards or away from the camera? (a) Towards (b) Away from,(a),The person in the image is running towards the camera.
220,Is the person in the image running towards or away from the camera? (a) Towards (b) Away from,(b),The person in the image is running towards the camera.
221,"In the photo, is one of the man's hands blocked by the woman? (a) Yes (b) No",(a),No
222,"In the photo, is one of the man's hands blocked by the woman? (a) Yes (b) No",(b),A
223,Is there a pomegranate in the picture? (a) Yes (b) No,(a),No
224,Is there a pomegranate in the picture? (a) Yes (b) No,(b),Yes
225,Are all the cups and bottles in the picture the same height? (a) Yes (b) No,(a),B
226,Are all the cups and bottles in the picture the same height? (a) Yes (b) No,(b),B
227,Does the person in the picture have something in their hand? (a) Yes (b) No,(a),Yes
228,Does the person in the picture have something in their hand? (a) Yes (b) No,(b),Yes
229,Do all the bottles in the picture face the same direction? (a) Yes (b) No,(a),B
230,Do all the bottles in the picture face the same direction? (a) Yes (b) No,(b),No
231,"Are all easter eggs placed in a container (e.g nest, basket)? (a) Yes (b) No",(a),No
232,"Are all easter eggs placed in a container (e.g nest, basket)? (a) Yes (b) No",(b),No
233,Is the sky in the background dark blue or light blue? (a) Dark blue (b) Light blue,(a),B
234,Is the sky in the background dark blue or light blue? (a) Dark blue (b) Light blue,(b),B
235,Do the individuals in the picture face the front or the back? (a) Front (b) Back,(a),(a) Front
236,Do the individuals in the picture face the front or the back? (a) Front (b) Back,(b),"The individuals in the picture face the back, as they are walking away from the camera."
237,Is the ground completely covered by red fallen leaves? (a) Yes (b) No,(a),No
238,Is the ground completely covered by red fallen leaves? (a) Yes (b) No,(b),No
239,Are the leather shoes placed side by side or is one on top of the other? (a) Side by side (b) One on top of the other,(a),The leather shoes are placed side by side on the table.
240,Are the leather shoes placed side by side or is one on top of the other? (a) Side by side (b) One on top of the other,(b),The leather shoes are placed side by side on the table.
241,Is the photo taken directly above the coffee or from the side? (a) Above (b) From the side,(a),"The photo is taken directly above the coffee, capturing the coffee cup and its contents."
242,Is the photo taken directly above the coffee or from the side? (a) Above (b) From the side,(b),"The photo is taken directly above the coffee, capturing the cup and the steam rising from it."
243,Is the rabbit in the image facing left or right? (a) Left (b) Right,(a),B
244,Is the rabbit in the image facing left or right? (a) Left (b) Right,(b),A
245,Is the elderly person in the picture standing or sitting? (a) Standing (b) Sitting,(a),The elderly person in the picture is sitting.
246,Is the elderly person in the picture standing or sitting? (a) Standing (b) Sitting,(b),The elderly person in the picture is sitting in a wheelchair.
247,Are there any fruits or vegetables in the heart-shaped part of the picture? (a) Yes (b) No,(a),Yes
248,Are there any fruits or vegetables in the heart-shaped part of the picture? (a) Yes (b) No,(b),Yes
249,Is the very top of the cake strawberries or cream? (a) Strawberries (b) Cream,(a),A
250,Is the very top of the cake strawberries or cream? (a) Strawberries (b) Cream,(b),(b) Cream
251,Is the beverage in the picture contained in a mug or a glass? (a) Mug (b) Glass,(a),The beverage in the picture is contained in a glass.
252,Is the beverage in the picture contained in a mug or a glass? (a) Mug (b) Glass,(b),The beverage in the picture is contained in a glass.
253,Is the design in the picture Santa Claus or a snowman? (a) Santa Claus (b) Snowman,(a),The design in the picture is Santa Claus.
254,Is the design in the picture Santa Claus or a snowman? (a) Santa Claus (b) Snowman,(b),The design in the picture is a snowman.
255,Are there cookies stacked on top of other cookies? (a) Yes (b) No,(a),Yes
256,Are there cookies stacked on top of other cookies? (a) Yes (b) No,(b),Yes
257,Is there a lemon inside the drink in the cup or are all the lemons outside the drink? (a) There is one inside (b) All are outside,(a),B
258,Is there a lemon inside the drink in the cup or are all the lemons outside the drink? (a) There is one inside (b) All are outside,(b),B
259,"In the picture, are the elderly people moving to the left or to the right? (a) Left (b) Right",(a),B
260,"In the picture, are the elderly people moving to the left or to the right? (a) Left (b) Right",(b),B
261,Is the person in the picture sitting on a black or white chair? (a) Black (b) White,(a),The person in the picture is sitting on a black chair.
262,Is the person in the picture sitting on a black or white chair? (a) Black (b) White,(b),The person in the picture is sitting on a white chair.
263,Is it a slice of cake or a whole cake in the picture? (a) Slice (b) Whole,(a),A slice of cake is in the picture.
264,Is it a slice of cake or a whole cake in the picture? (a) Slice (b) Whole,(b),It is a whole cake in the picture.
265,Is the shoe in the image tied or untied? (a) Tied (b) Untied,(a),The shoe in the image is tied.
266,Is the shoe in the image tied or untied? (a) Tied (b) Untied,(b),The shoe in the image is tied.
267,Is the child in the picture facing forward or in profile? (a) Facing forward (b) In profile,(a),The child in the picture is facing forward.
268,Is the child in the picture facing forward or in profile? (a) Facing forward (b) In profile,(b),The child in the picture is facing forward.
269,Is the wall behind the bed empty or is there a painting hanging on it? (a) Empty (b) A painting hanging on it,(a),There is a painting hanging on the wall behind the bed.
270,Is the wall behind the bed empty or is there a painting hanging on it? (a) Empty (b) A painting hanging on it,(b),There is a painting hanging on the wall behind the bed.
271,Is the male in the picture wearing a shirt or a T-shirt? (a) Shirt (b) T-shirt,(a),"The male in the picture is wearing a shirt, not a T-shirt."
272,Is the male in the picture wearing a shirt or a T-shirt? (a) Shirt (b) T-shirt,(b),"The male in the picture is wearing a shirt, not a T-shirt."
273,What pattern is in the picture? (a) Pumpkin Lights (b) Bats,(a),A
274,What pattern is in the picture? (a) Pumpkin Lights (b) Bats,(b),A
275,How many trees are the treehouse built on? (a) One (b) More than one,(a),(b) More than one
276,How many trees are the treehouse built on? (a) One (b) More than one,(b),B
277,What are all the letter in the image? (a) SUGAR (b) UGA,(a),a
278,What are all the letter in the image? (a) SUGAR (b) UGA,(b),(a) SUGAR
279,Is the elderly person standing or sitting in the picture? (a) Standing (b) Sitting,(a),The elderly person is sitting on a bench in the picture.
280,Is the elderly person standing or sitting in the picture? (a) Standing (b) Sitting,(b),The elderly person is standing in the picture.
281,Are there drinks on the table? (a) Yes (b) No,(a),Yes
282,Are there drinks on the table? (a) Yes (b) No,(b),B
283,"In the image, is it a salmon fillet or a salmon steak? (a) Salmon fillet (b) Salmon steak",(a),"In the image, it is a salmon fillet."
284,"In the image, is it a salmon fillet or a salmon steak? (a) Salmon fillet (b) Salmon steak",(b),"In the image, it is a salmon fillet."
285,Do you see a yellow towel in the image? (a) Yes (b) No,(a),Yes
286,Do you see a yellow towel in the image? (a) Yes (b) No,(b),No
287,Is the cup placed on a surface or being held by hand? (a) Placed on a surface (b) Held by hand,(a),A) Placed on a surface
288,Is the cup placed on a surface or being held by hand? (a) Placed on a surface (b) Held by hand,(b),A) Placed on a surface
289,Is the following statement correct: There are different colors of grapes in the image. (a) Correct (b) Incorrect,(a),A
290,Is the following statement correct: There are different colors of grapes in the image. (a) Correct (b) Incorrect,(b),A
291,Is the minion in the image smiling with its tongue out? (a) Yes (b) No,(a),Yes
292,Is the minion in the image smiling with its tongue out? (a) Yes (b) No,(b),No
293,Is the sports car in the picture facing left or right? (a) Left (b) Right,(a),B
294,Is the sports car in the picture facing left or right? (a) Left (b) Right,(b),B
295,Is the edge of the heart in the picture white or dark-colored? (a) White (b) Dark-colored,(a),B
296,Is the edge of the heart in the picture white or dark-colored? (a) White (b) Dark-colored,(b),B
297,Are there patterns on the easter eggs? (a) Yes (b) No,(a),Yes
298,Are there patterns on the easter eggs? (a) Yes (b) No,(b),Yes
299,How would you describe the background of the image? (a) Light shining through the clouds from the upper right corner (b) Most of the background is dark and cloudy,(a),B
300,How would you describe the background of the image? (a) Light shining through the clouds from the upper right corner (b) Most of the background is dark and cloudy,(b),B
